"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2005-01-10","1","Surface Water",">8.1","5.4","120","60","5.1","17000","19000","0.25","0.25","0.39","7.8","23","24.1","0.2","3.4","110","15.7","5.9","6.8","7.3","0.89","80.7","0.077","18"
"Deep Bay","DM1","2005-02-25","1","Surface Water","3.4","5.5","1.8","24","2","8900","10000","0.33","0.27","0.55","7.6","4.5","23.8","0.3","5.3","25","16.6","6.1","6.3","6.9","0.67","25.3","0.059","4.2"
"Deep Bay","DM1","2005-03-11","1","Surface Water","7.5","5.6","0.6","16","1.3","11000","13000","0.38","0.35","0.49","7.6","13","23.1","0.5","5.6","130","19.9","6.33","6.2","6.93","0.8","47.4","0.07","14"
"Deep Bay","DM1","2005-04-13","1","Surface Water",">5.5","4","2.1","17","1.3","2200","3000","0.82","0.48","0.53","7.9","7.9","21","0.5","5.5","74","21.8","5.3","4.9","6.2","0.66","56.1","0.129","12"
"Deep Bay","DM1","2005-05-13","1","Surface Water","2.1","2.1","1.8","53","3.9","3200","6200","1.2","0.38","0.33","7.2","4.8","12.7","0.3","6.3","28","27.4","3.68","2.6","4.18","0.45","33.2","0.023","4.2"
"Deep Bay","DM1","2005-06-22","1","Surface Water","5.4","6.8","5","24","1.8","170000","240000","0.082","0.13","0.6","7.2","7.1","1.8","0.2","11","62","27.4","7.01","8.4","8.61","0.93","68.9","0.066","8.7"
"Deep Bay","DM1","2005-07-20","1","Surface Water","8.9","5.9","260","87","6.3","2100","19000","0.19","0.36","0.6","8","84","3.2","0.2","0.99","22","31.8","6.45","7.5","8.05","0.92","45","0.46","8.5"
"Deep Bay","DM1","2005-08-19","1","Surface Water","4.7","4.7","4.5","26","2","360000","740000","0.11","0.18","0.23","7.5","0.9","3.3","0.5","9.8","25","27.5","4.99","6","6.29","0.46","31.7","0.088","6.6"
"Deep Bay","DM1","2005-09-21","1","Surface Water","4","3.7","5.8","25","1.7","3200","6700","0.24","0.31","0.37","7.1","5.6","16.5","0.3","7.2","61","29.9","4.25","4.4","4.95","0.49","53.1","0.041","7.5"
"Deep Bay","DM1","2005-10-17","1","Surface Water","2.8","3.7","9.2","43","3","2200","3300","0.24","0.28","0.44","7","3.3","21.7","0.3","7.4","12","27.7","4.22","4.3","4.82","0.52","24.2","0.023","1.9"
"Deep Bay","DM1","2005-11-02","1","Surface Water","3.7","5.9","10","42","3.2","24000","37000","0.15","0.21","0.65","7.4","4.6","23.8","0.5","7.2","13","22.2","6.26","6.6","6.96","0.73","26.2","0.058","3.2"
"Deep Bay","DM1","2005-12-02","1","Surface Water","3.3","4.8","9.6","43","3.2","3200","4500","0.23","0.26","0.55","7.5","6.7","23.7","0.2","4","32","22.6","5.29","5.5","5.99","0.66","21.2","0.055","5"
"Deep Bay","DM2","2005-01-10","1","Surface Water",">7.7","3.3","140","106","9","2600","3000","0.26","0.25","0.23","8.2","18","27","0.2","2.1","32","15.6","3.81","4.5","5.01","0.53","40.3","0.112","9.6"
"Deep Bay","DM2","2005-02-25","1","Surface Water","3.4","3.3","0.4","26","2.2","3900","4600","0.47","0.33","0.34","7.7","3.1","26.4","0.4","4","29","15.9","4.1","3.8","4.6","0.45","29.3","0.037","3.9"
"Deep Bay","DM2","2005-03-11","1","Surface Water",">7.3","3.4","0.8","32","2.5","1200","1400","0.51","0.45","0.34","7.7","6.4","25.4","0.5","4.5","71","19.6","4.36","3.8","4.76","0.49","36.8","0.052","6.8"
"Deep Bay","DM2","2005-04-13","1","Surface Water",">5.9","2.4","0.8","46","3.5","210","280","1.1","0.75","0.37","8","9.9","22.2","0.5","5","54","22.2","4.25","3","4.85","0.47","38.1","0.086","8.6"
"Deep Bay","DM2","2005-05-13","1","Surface Water","1.7","1.2","1.1","75","5.5","630","1100","1.7","0.3","0.18","7.4","3","12.5","0.6","5.9","20","27.4","3.2","1.5","3.5","0.23","25.8","0.019","3.1"
"Deep Bay","DM2","2005-06-22","1","Surface Water","3.6","4.9","2.9","41","3.1","14000","23000","0.28","0.4","0.45","7.3","9.8","3.1","0.3","9.9","100","27.5","5.58","6.1","6.78","0.75","96.4","0.069","11"
"Deep Bay","DM2","2005-07-20","1","Surface Water","4","2.9","17","56","3.9","420","91000","0.33","0.56","0.53","7.8","45","4.7","0.2","1.2","53","32.1","3.79","4.1","4.99","0.69","34.8","0.164","18"
"Deep Bay","DM2","2005-08-19","1","Surface Water","1.8","3.4","5","45","3.4","26000","55000","0.23","0.2","0.32","7.2","4.4","7.6","0.5","7.9","40","27.8","3.83","4.4","4.83","0.47","93","0.035","5"
