"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2007-01-19","1","Surface Water","4.2","5.8","41","52","4.3","11000","15000","0.21","0.17","0.47","7","32","22.4","0.2","1.6","24","17.7","6.18","8","8.38","0.71","37.1","0.018","6.1"
"Deep Bay","DM1","2007-02-02","1","Surface Water","6","8.1","35","81","7.1","7400","8000","0.19","0.18","0.45","7.9","20","21.9","0.2","5","21","15.1","8.47","9","9.37","0.77","28","0.157","5.3"
"Deep Bay","DM1","2007-03-19","1","Surface Water","2.9","8.1","4.3","51","4","8200","11000","0.3","0.32","0.7","7.5","3.8","23.3","0.2","6","17","20.2","8.72","8.3","8.92","0.88","37.2","0.087","15"
"Deep Bay","DM1","2007-04-18","1","Surface Water","2.8","3.8","14","78","5.6","720","1100","0.45","0.37","0.44","7.5","9.1","22.2","0.2","2.7","25","25.2","4.62","4.1","4.92","0.55","28.7","0.059","4.2"
"Deep Bay","DM1","2007-05-14","1","Surface Water","3.8","4.6","10","35","2.5","2500","4000","0.35","0.27","0.62","7.7","6.4","16.6","0.2","5.5","31","27","5.22","5.5","6.12","0.79","34.1","0.16","4.5"
"Deep Bay","DM1","2007-06-27","1","Surface Water","4.4","10","58","3","0.2","220000","330000","0.013","0.008","0.88","6.7","23","2.5","0.2","9.8","32","31.1","10.02","15","15.02","1.3","36","0.039","13"
"Deep Bay","DM1","2007-07-16","1","Surface Water","3.8","4.1","27","81","5.7","630","2100","0.41","0.73","0.45","6.5","19","5.7","0.2","6.2","28","32.3","5.24","5.5","6.64","0.57","32.4","0.013","6.3"
"Deep Bay","DM1","2007-08-13","1","Surface Water","2.2","3.2","1.1","25","1.8","11000","26000","0.29","0.43","0.39","7","1.1","12.2","0.3","7.2","15","28","3.92","4.4","5.12","0.47","26.1","0.024","2.6"
"Deep Bay","DM1","2007-09-10","1","Surface Water","2.2","1.9","2","53","3.7","80","200","0.51","0.21","0.3","7.2","2.2","19","0.8","5.6","28","28.5","2.62","2.3","3.02","0.38","28.3","0.021","3.4"
"Deep Bay","DM1","2007-10-08","1","Surface Water","8","6.7","20","28","2","26000","38000","0.003","0.009","0.79","7.1","3.9","12.2","0.3","10","10","29.6","6.71","9.2","9.21","1","23.1","0.067","2.9"
"Deep Bay","DM1","2007-11-09","1","Surface Water","2.1","4.2","4.1","67","5.1","2000","3000","0.24","0.25","0.47","6.7","2.2","23.8","0.7","5","7.4","22.4","4.69","5.1","5.59","0.53","15.1","0.017","1.6"
"Deep Bay","DM1","2007-12-08","1","Surface Water","3.1","6.9","7.9","39","3.1","29000","32000","0.14","0.12","0.63","6.5","3.5","23.7","0.1","5.5","9.4","18.9","7.16","8.8","9.06","0.77","16.2","0.021","2.5"
"Deep Bay","DM2","2007-01-19","1","Surface Water","4.8","3.8","44","85","7","6900","9200","0.24","0.2","0.34","7.4","41","25.7","0.3","0.34","15","17.6","4.24","5.4","5.84","0.51","31.1","0.026","4"
"Deep Bay","DM2","2007-02-02","1","Surface Water","6.2","5.3","67","118","10.2","7600","8000","0.22","0.23","0.26","8.3","33","25.4","0.3","3.8","12","15.1","5.75","7.2","7.65","0.68","21.7","0.231","4.5"
"Deep Bay","DM2","2007-03-19","1","Surface Water","2.1","3.2","2.4","70","5.4","490","700","0.49","0.45","0.39","7.6","1.9","25.8","0.5","4.1","18","20.3","4.14","4.6","5.54","0.47","27.6","0.044","13"
"Deep Bay","DM2","2007-04-18","1","Surface Water","3","1.7","31","121","8.8","150","260","0.57","0.36","0.27","8","13","24.2","0.5","0.64","22","24.6","2.63","2.1","3.03","0.35","22.5","0.081","5.6"
"Deep Bay","DM2","2007-05-14","1","Surface Water","5.5","3.4","7.2","36","2.5","250","590","0.38","0.3","0.48","7.6","6.3","20.8","0.3","4.7","40","27.2","4.08","4.1","4.78","0.63","41.8","0.068","5.8"
"Deep Bay","DM2","2007-06-27","1","Surface Water","6.3","6.1","64","64","4.5","9800","14000","0.1","0.21","0.72","6.6","38","5.8","0.1","6.8","24","31.6","6.41","8.5","8.81","0.95","30.9","0.023","9"
"Deep Bay","DM2","2007-07-16","1","Surface Water","3.2","2.4","10","82","5.7","200","1000","0.58","0.72","0.35","6.6","9.6","7.2","0.2","5.7","25","32.4","3.7","3.3","4.6","0.44","30.3","0.009","4.1"
"Deep Bay","DM2","2007-08-13","1","Surface Water","3","4.3","2.2","21","1.6","35000","83000","0.25","0.36","0.39","7.3","1.5","7.9","0.5","7.7","14","28.8","4.91","5.3","5.91","0.49","16.7","0.067","3.4"
"Deep Bay","DM2","2007-09-10","1","Surface Water","2","2.9","12","44","3.1","480","860","0.29","0.15","0.37","7.4","2.4","17.1","0.4","6.9","15","28.7","3.34","4.1","4.54","0.47","20.6","0.057","2.5"
"Deep Bay","DM2","2007-10-08","1","Surface Water","3.2","4.8","18","63","4.3","360","710","0.11","0.24","0.54","7.3","12","16.6","0.5","6.1","13","30.4","5.15","5.3","5.65","0.65","21.1","0.069","3"
"Deep Bay","DM2","2007-11-09","1","Surface Water","1.7","3.3","5.1","76","5.6","550","960","0.23","0.23","0.38","6.9","2","26.8","0.5","4","10","22.4","3.76","4","4.46","0.47","17.8","0.013","2.3"
"Deep Bay","DM2","2007-12-08","1","Surface Water","2.4","3.7","7.7","59","4.7","2200","3100","0.24","0.21","0.37","6.6","5.9","25.6","0.4","3.1","28","19","4.15","4.8","5.25","0.49","25.4","0.011","3.8"
"Deep Bay","DM3","2007-01-19","1","Surface Water","4.6","0.81","59","123","9.7","36","53","0.25","0.12","0.092","7.4","23","30.1","0.5","<0.05","13","18","1.18","1.6","1.97","0.21","23.6","0.006","4.3"
"Deep Bay","DM3","2007-02-02","1","Surface Water","2.5","0.81","11","127","10.4","22","30","0.27","0.11","0.066","8.5","6.1","29.6","0.7","1.2","7","16.2","1.19","1.3","1.68","0.13","13.1","0.052","2.6"
"Deep Bay","DM3","2007-03-19","1","Surface Water","1.6","0.94","2.8","83","6.4","12","15","0.55","0.2","0.14","7.8","0.9","27.5","0.5","2.4","17","20.7","1.69","1.1","1.85","0.18","20.4","0.021","15"
"Deep Bay","DM3","2007-04-18","1","Surface Water","1.5","0.38","25","123","9","46","83","0.61","0.11","0.037","8.2","13","25.4","0.6","0.65","20","23.7","1.1","0.72","1.44","0.09","22.7","0.025","4.1"
"Deep Bay","DM3","2007-05-14","1","Surface Water","6.2","0.26","27","42","3","7","23","0.67","0.18","0.062","8","13","22.6","0.3","0.36","36","26.7","1.11","0.6","1.45","0.17","35.6","0.013","5.7"
"Deep Bay","DM3","2007-06-27","1","Surface Water","3.4","1.4","9.4","72","5","90","610","0.43","0.36","0.31","6.7","12","8.8","0.2","5.5","16","31.6","2.19","2.4","3.19","0.39","25.9","0.007","3.9"
"Deep Bay","DM3","2007-07-16","1","Surface Water","1.3","0.31","3","87","6.1","32","110","1.2","0.15","0.11","6.8","2","11.9","0.2","5.8","14","30.7","1.66","0.62","1.97","0.14","20.1","0.001","2.2"
"Deep Bay","DM3","2007-08-13","1","Surface Water","1","0.42","1.7","39","2.7","1300","2700","0.87","0.46","0.12","7.3","<0.2","15.8","0.3","4.7","12","28.5","1.75","0.68","2.01","0.15","18.1","0.006","2"
"Deep Bay","DM3","2007-09-10","1","Surface Water","0.4","0.39","4.7","56","3.9","10","22","0.61","0.13","0.087","7.8","0.7","23.7","0.8","3.5","5.8","27.8","1.13","0.62","1.36","0.11","13.1","0.013","1"
"Deep Bay","DM3","2007-10-08","1","Surface Water","1","1.6","3.5","69","4.6","9","23","0.49","0.39","0.3","7.2","2.3","21.9","0.8","5.1","6.4","29.4","2.48","1.8","2.68","0.34","13.5","0.019","1"
"Deep Bay","DM3","2007-11-09","1","Surface Water","1.2","0.84","16","115","8.3","59","120","0.24","0.14","0.14","7","1.9","29.5","1.2","1.3","4.3","22.5","1.22","1.3","1.68","0.19","10.6","0.003","1.5"
"Deep Bay","DM3","2007-12-08","1","Surface Water","2.5","1.9","9.1","102","7.9","150","210","0.28","0.17","0.21","7.8","2.9","28.2","0.4","1.7","9","19.4","2.35","2.6","3.05","0.28","14.6","0.036","2.4"
"Deep Bay","DM4","2007-01-19","1","Surface Water","1.8","0.4","16","85","6.6","660","980","0.2","0.063","0.032","7.5","6.4","31.2","0.6","0.36","9.3","18.4","0.66","0.7","0.96","0.07","22.1","0.003","2.4"
"Deep Bay","DM4","2007-01-19","1","Bottom Water","1.7","0.36","16","96","7.4","930","1200","0.18","0.056","0.035","7.5","5.4","31.7","0.6","0.24","9.3","18.3","0.6","0.65","0.89","0.07","20.2","0.003","2.4"
"Deep Bay","DM4","2007-02-02","1","Surface Water","1.5","0.51","12","108","8.7","870","1000","0.25","0.069","0.033","8.2","<0.2","29.6","0.7","1.1","7.6","16.9","0.83","0.78","1.1","0.07","13.3","0.021","2.8"
"Deep Bay","DM4","2007-02-02","1","Bottom Water","1.6","0.48","16","108","8.8","920","1400","0.21","0.062","0.037","8.3","1.2","30.5","0.7","0.88","7.2","16.5","0.75","0.8","1.07","0.08","13.7","0.021","2.8"
"Deep Bay","DM4","2007-03-19","1","Surface Water","1","0.69","2.2","86","6.5","430","680","0.48","0.12","0.066","7.9","<0.2","28.1","0.7","2.1","7.8","20.8","1.29","0.86","1.46","0.09","14","0.018","3.8"
"Deep Bay","DM4","2007-03-19","1","Bottom Water","0.6","0.67","1.4","83","6.3","870","1200","0.45","0.11","0.06","7.9","<0.2","28.4","0.7","2","8.6","20.7","1.23","0.78","1.34","0.09","14.5","0.018","3.4"
"Deep Bay","DM4","2007-04-18","1","Surface Water","1.1","0.6","2.8","84","6.1","140","210","0.62","0.12","0.045","8","1","25.3","0.7","2.3","8.7","23.8","1.34","0.78","1.52","0.06","36.7","0.026","3.3"
"Deep Bay","DM4","2007-04-18","1","Bottom Water","1.2","0.5","9","93","6.8","460","820","0.56","0.11","0.045","8","3","26.2","0.7","1.3","8.3","23.4","1.17","0.72","1.39","0.08","14.7","0.021","3.8"
"Deep Bay","DM4","2007-05-14","1","Surface Water","5.1","0.043","33","164","11.4","16","47","0.7","0.17","0.006","8.6","26","22.2","0.7","0.2","10","27.6","0.91","0.62","1.49","0.06","27.1","0.008","5.6"
"Deep Bay","DM4","2007-05-14","1","Bottom Water","2.7","0.15","49","106","7.4","82","120","0.63","0.16","0.005","8.5","13","24.4","0.7","0.67","17","26","0.94","0.65","1.44","0.09","22.7","0.022","4"
"Deep Bay","DM4","2007-06-27","1","Surface Water","1.7","0.29","2.4","86","6","24","110","0.9","0.22","0.083","6.9","3.4","8.8","0.2","5.6","12","31.1","1.41","0.71","1.83","0.12","20.2","0.002","2.8"
"Deep Bay","DM4","2007-06-27","1","Bottom Water","1.2","0.33","1.5","64","4.5","670","1100","0.82","0.22","0.09","6.8","4.8","14","0.2","5.7","9.1","29.7","1.37","0.73","1.77","0.13","26.3","0.002","4"
"Deep Bay","DM4","2007-07-16","1","Surface Water","1","0.23","2.4","87","6.1","85","140","1.3","0.12","0.078","7","0.8","11.5","0.5","6","7.9","30.5","1.65","0.47","1.89","0.09","17.1","0.002","1.5"
"Deep Bay","DM4","2007-07-16","1","Bottom Water","0.6","0.24","1.5","77","5.4","300","550","1.2","0.11","0.071","7","1.2","14.3","0.5","5.3","8.4","29.7","1.55","0.46","1.77","0.09","15.9","0.002","1.4"
"Deep Bay","DM4","2007-08-13","1","Surface Water","0.9","0.34","0.7","46","3.3","410","1000","0.87","0.43","0.091","7.6","0.3","16.4","0.3","4.4","7.6","28.3","1.64","0.57","1.87","0.11","14.3","0.009","1.6"
"Deep Bay","DM4","2007-08-13","1","Bottom Water","0.7","0.33","1.2","47","3.3","500","800","0.83","0.42","0.091","7.6","<0.2","17.8","0.3","4.2","15","27.6","1.58","0.53","1.78","0.11","50.5","0.009","1.8"
"Deep Bay","DM4","2007-09-10","1","Surface Water","0.7","0.45","5.3","59","4","17","48","0.57","0.14","0.093","7.7","1","23.4","1.5","3.5","3.7","27.7","1.16","0.77","1.48","0.12","9.1","0.014","0.7"
"Deep Bay","DM4","2007-09-10","1","Bottom Water","0.6","0.43","6.6","52","3.6","39","100","0.56","0.13","0.078","7.7","1","25.1","1.5","3.2","5.6","27.1","1.12","0.65","1.34","0.11","16.5","0.013","1.1"
"Deep Bay","DM4","2007-10-08","1","Surface Water","0.9","0.4","3.9","73","4.9","7","40","0.6","0.36","0.12","7.4","1.9","23.4","1","4","4.2","29.3","1.36","0.63","1.59","0.15","12","0.006","1"
