"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1991-01-21","1","Surface Water","14","11","3.7","8","0.7","68000","68000","0.22","0.098","1.3","7.4","4.1","19.6","0.1","6.8","97","18","11.32","12","12.32","2.4","89","0.089","8.5"
"Deep Bay","DM1","1991-02-25","1","Surface Water","2.6","5.8","9.6","116","10.4","33000","36000","0.47","0.28","1.1","7.6","3.5","23.9","0.8","3.8","23","16.7","6.55","6.8","7.55","1.1","12","0.061","6"
"Deep Bay","DM1","1991-03-18","1","Surface Water","1.9","1.9","2.1","102","8.3","1600","1700","0.34","0.17","0.38","7.6","5.3","24.7","0.4","2.6","32","20.1","2.41","7","7.51","0.66","31","0.027","4.5"
"Deep Bay","DM1","1991-04-18","1","Surface Water","1.3","0.2","4.8","78","5.8","150","150","0.77","0.096","0.25","7.9","4.5","19.7","0.1","3.8","100","24.9","1.07","0.29","1.16","0.36","95","0.008","9.5"
"Deep Bay","DM1","1991-05-20","1","Surface Water","2.9","3.99","16","59","4","6200","6800","0.401","0.359","0.954","7.5","6.5","20.9","0.4","5.41","26","27.6","4.75","4.2","4.96","2.31","31","0.076","4.5"
"Deep Bay","DM1","1991-06-14","1","Surface Water","0.8","0.362","2","70","5.3","2100","2300","0.448","0.089","0.197","7.7","3.6","10.1","0.6","4.78","37","27.1","0.9","1.27","1.81","0.25","30","0.012","4"
"Deep Bay","DM1","1991-07-15","1","Surface Water","3.7","0.663","45","94","7.1","2700","3900","0.652","0.296","0.322","8.3","28","12.1","0.4","0.19","77","26","1.61","0.82","1.77","0.49","45","0.076","10"
"Deep Bay","DM1","1991-08-29","1","Surface Water","2.9","0.572","15","45","3.3","18000","21000","0.492","1.83","0.47","8","39","14.4","0.4","0.16","250","27","2.89","2.64","4.96","1.02","160","0.034","28"
"Deep Bay","DM1","1991-09-24","1","Surface Water","0.4","1.18","5.1","53","3.7","800","800","0.214","0.203","0.437","7.7","5.2","25.1","0.5","1.7","28","26.2","1.6","1.3","1.72","0.51","30","0.029","3"
"Deep Bay","DM1","1991-11-08","1","Surface Water","5","3.79","67","116","8.7","3800","4600","0.364","0.341","0.827","8.1","43","29.5","0.4","1.7","66","23.7","4.5","4.2","4.91","1","55","0.175","13"
"Deep Bay","DM1","1991-12-09","1","Surface Water","1.8","2.86","4.5","126","10.4","800","1000","0.28","0.149","0.443","7.7","6.1","28.7","0.4","2.7","39","20.9","3.29","2.9","3.33","0.75","33","0.049","4.5"
"Deep Bay","DM2","1991-01-21","1","Surface Water","7.7","4.7","0.5","56","4.6","5400","6900","0.48","0.26","0.64","7.5","5.4","25.1","0.2","4.8","110","17.8","5.44","5.8","6.54","1.1","79","0.044","9.5"
"Deep Bay","DM2","1991-02-25","1","Surface Water","1.5","1.3","8.8","104","9.2","160","170","0.56","0.18","0.44","7.9","2.6","27.2","1.4","1.2","17","16.6","2.04","1.3","2.04","0.44","4","0.028","4.5"
"Deep Bay","DM2","1991-03-18","1","Surface Water","0.8","0.61","1.6","102","8.3","17","24","0.57","0.083","0.28","7.8","2.7","25.8","0.8","2.8","17","20.4","1.26","3.8","4.45","0.35","18","0.012","2.5"
"Deep Bay","DM2","1991-04-18","1","Surface Water","1","0.23","4.3","85","6.2","10","10","0.7","0.067","0.15","7.8","4.5","20.2","0.2","3.3","63","24.6","1","0.68","1.45","0.21","60","0.006","7.5"
"Deep Bay","DM2","1991-05-20","1","Surface Water","2.3","3.97","21","70","4.9","2500","2500","0.445","0.343","1.185","7.7","7.5","21","0.6","5.46","10","27.1","4.76","4.2","4.99","2.39","14","0.105","1.5"
"Deep Bay","DM2","1991-06-14","1","Surface Water","0.8","0.549","2.7","72","5.4","1000","1300","0.574","0.117","0.201","7.7","2.5","9.4","0.8","4.97","25","27","1.24","1.5","2.19","0.23","25","0.019","3"
"Deep Bay","DM2","1991-07-15","1","Surface Water","1.2","0.142","9.9","90","7","390","480","0.885","0.101","0.125","8.2","9.4","10.6","0.6","2.7","49","26.1","1.13","1.77","2.76","0.63","27","0.012","4.5"
"Deep Bay","DM2","1991-08-29","1","Surface Water","0.8","1.11","5.1","55","4","1800","2300","0.313","0.323","0.297","7.9","9.9","16.6","0.4","1","49","27.2","1.75","1.39","2.03","0.49","45","0.055","6"
"Deep Bay","DM2","1991-09-24","1","Surface Water","N/A","0.797","6.1","64","4.5","120","130","0.218","0.101","0.304","7.8","2.3","25.9","1","1.5","13","26.1","1.12","1.05","1.37","0.35","13","0.024","1.5"
"Deep Bay","DM2","1991-11-08","1","Surface Water","4.1","1.19","36","122","9.2","390","430","0.484","0.226","0.445","8","46","27.8","0.3","0.12","59","23.7","1.9","1.9","2.61","0.58","50","0.051","10"
"Deep Bay","DM2","1991-12-09","1","Surface Water","1.5","1.45","2.4","131","10.5","80","90","0.371","0.156","0.376","7.6","4.1","28.8","0.5","2","27","20.9","1.98","2","2.53","0.57","24","0.02","3"
"Deep Bay","DM3","1991-01-21","1","Surface Water","1","0.58","2.7","92","7.5","6","10","0.46","0.066","0.14","7.9","<0.2","30","0.6","2.1","52","17.1","1.11","1","1.53","0.18","22","0.011","4.5"
"Deep Bay","DM3","1991-02-25","1","Surface Water","1.2","0.39","2.9","95","8.3","2","2","0.2","0.033","0.094","8.1","1","29.6","1.4","0.65","19","17.2","0.62","0.51","0.74","0.15","7.1","0.012","1"
"Deep Bay","DM3","1991-02-25","1","Bottom Water","0.8","0.32","3.5","94","8.2","6","6","0.19","0.033","0.069","8.1","0.6","29.8","1.4","0.67","24","17.2","0.54","0.48","0.7","0.12","11","0.01","5"
"Deep Bay","DM3","1991-03-18","1","Surface Water","0.9","0.23","1.3","102","8.3","29","37","0.33","0.028","0.079","8","1.8","27.6","1","1.8","16","20.4","0.59","2.3","2.66","0.16","12","0.007","2.5"
"Deep Bay","DM3","1991-03-18","1","Bottom Water","0.6","0.17","1.6","97","7.9","80","130","0.3","0.024","0.068","8","1.4","27.9","1","1.7","7","20.4","0.49","2.2","2.52","0.15","12","0.006","0.5"
"Deep Bay","DM3","1991-04-18","1","Surface Water","1.5","<0.005","10","93","7","30","35","0.58","0.033","0.029","7.7","0.8","22.6","1","2.6","10","23.1","0.62","0.22","0.83","0.06","9.7","0.001","1.5"
"Deep Bay","DM3","1991-04-18","1","Bottom Water","1","<0.005","2.9","91","6.8","220","240","0.53","0.031","0.035","7.9","2.5","23.1","1","2.4","51","22.8","0.57","0.29","0.85","0.08","45","0.001","6.5"
"Deep Bay","DM3","1991-05-20","1","Surface Water","1.4","0.067","3.7","89","6.3","6","7","0.796","0.119","0.08","7.9","3.7","19.6","1.2","3.49","6","26.8","0.98","0.7","1.62","0.1","9","0.003","0.5"
"Deep Bay","DM3","1991-06-14","1","Surface Water","0.4","0.012","1.3","86","6.5","260","300","0.779","0.074","0.04","7.9","1","8.5","1","4.64","9.5","27.2","0.87","0.76","1.61","0.05","9.5","0.001","1"
"Deep Bay","DM3","1991-07-15","1","Surface Water","0.6","<0.005","0.8","86","6.5","100","150","1.17","0.02","0.034","8","2.4","7.2","0.8","6.9","22","26.4","1.2","0.63","1.82","0.23","24","0.001","1.5"
"Deep Bay","DM3","1991-07-15","1","Bottom Water","0.4","<0.005","0.5","81","6.1","600","800","1.07","0.05","0.039","8","2.3","11.4","0.8","6","22","26.1","1.13","0.36","1.48","0.09","22","0.001","3.5"
"Deep Bay","DM3","1991-08-29","1","Surface Water","0.2","<0.005","0.5","63","4.7","90","100","0.538","0.13","0.057","8.1","0.6","13.6","0.5","3.9","17","26.4","0.67","0.27","0.94","0.22","9.5","0.001","2.5"
"Deep Bay","DM3","1991-09-24","1","Surface Water","N/A","0.102","3.5","85","5.9","13","13","0.197","0.051","0.072","8","5.9","27.5","0.5","0.5","10","26.6","0.35","0.38","0.63","0.1","12","0.005","2"
"Deep Bay","DM3","1991-11-08","1","Surface Water","4","0.462","25","123","9.2","1","3","0.456","0.136","0.236","8.5","19","28.5","0.9","0.19","16","23.8","1.05","1.2","1.79","0.38","15","0.054","3"
"Deep Bay","DM3","1991-12-09","1","Surface Water","1","0.82","0.3","125","10","30","60","0.356","0.111","0.277","7.8","5.9","28.5","0.8","1.9","13","20.7","1.29","1.3","1.77","0.37","11","0.019","1.5"
"Deep Bay","DM4","1991-01-21","1","Surface Water","1.1","0.19","1.9","95","7.7","82","82","0.29","0.038","0.052","7.9","0.9","29.2","0.6","1.8","41","17","0.52","0.71","1.04","0.12","20","0.004","4.5"
"Deep Bay","DM4","1991-01-21","1","Bottom Water","1","0.29","1.1","94","7.6","32","46","0.28","0.045","0.07","7.9","1.7","30","0.6","1.8","11","17","0.62","0.75","1.08","0.12","34","0.006","<0.5"
"Deep Bay","DM4","1991-02-25","1","Surface Water","0.8","0.26","1.9","91","7.9","6","6","0.16","0.016","0.036","8.1","0.4","28.1","1.6","0.97","11","17.5","0.44","0.39","0.57","0.06","5.4","0.009","4"
"Deep Bay","DM4","1991-02-25","1","Bottom Water","0.6","0.27","2.4","94","8.1","32","32","0.15","0.018","0.04","8.1","0.2","28.3","1.6","0.81","23","17.5","0.44","0.35","0.52","0.06","6.9","0.009","5"
"Deep Bay","DM4","1991-03-18","1","Surface Water","0.6","0.15","1.6","110","8.9","70","70","0.28","0.017","0.044","8","1.6","27.4","1.2","1.7","16","20.2","0.45","2","2.3","0.11","15","0.005","1.5"
"Deep Bay","DM4","1991-03-18","1","Bottom Water","0.5","0.14","1.6","101","8.2","68","71","0.28","0.017","0.043","8","1.2","27.6","1.2","1.7","6.5","20.2","0.44","2","2.3","0.12","11","0.005","1"
"Deep Bay","DM4","1991-04-18","1","Surface Water","1.4","<0.005","5.6","95","7","33","35","0.5","0.027","0.038","7.9","1.5","24.1","1.2","2.1","7","22.6","0.53","<0.05","0.58","0.09","6","0.001","2"
"Deep Bay","DM4","1991-04-18","1","Bottom Water","0.8","<0.005","2.4","93","6.9","150","180","0.38","0.023","0.026","7.9","2.1","25.4","1.2","1.8","40","22.3","0.41","0.43","0.83","0.08","35","0.001","5"
"Deep Bay","DM4","1991-05-20","1","Surface Water","1.7","0.068","5.6","90","6.3","2","2","0.781","0.12","0.051","7.9","3.6","18.9","1.4","3.51","6.5","26.6","0.97","0.55","1.45","0.11","9","0.003","1.5"
"Deep Bay","DM4","1991-05-20","1","Bottom Water","1.3","0.258","2.9","80","5.7","18","22","0.678","0.146","0.134","7.8","2.1","23","1.4","3.16","8","25.5","1.08","0.59","1.41","0.33","10","0.008","1"
