"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2002-01-15","1","Surface Water",">7.3","3.4","3","74","6","8200","12000","0.51","0.28","0.33","8","36","21.2","0.5","1.8","35","19.5","4.19","6.4","7.19","0.68","57.6","0.113","9"
"Deep Bay","DM1","2002-02-15","1","Surface Water","3.3","6.6","3","51","4.1","2800","2900","0.21","0.16","0.64","7.5","7.3","24","0.5","5.1","51","19","6.97","7.5","7.87","0.79","55.2","0.065","5.6"
"Deep Bay","DM1","2002-03-15","1","Surface Water","2.1","5.1","1.1","27","2","2700","3600","0.27","0.27","0.48","7.7","4.9","23.6","0.5","4.2","48","22","5.64","5.9","6.44","0.64","39.3","0.089","5.6"
"Deep Bay","DM1","2002-04-17","1","Surface Water","2.1","2.7","1.7","52","3.8","93","130","0.57","0.27","0.32","7.7","5.9","21.6","0.5","4.1","36","25.2","3.54","3.1","3.94","0.44","38.2","0.06","4"
"Deep Bay","DM1","2002-05-17","1","Surface Water","4.9","2.7","1.9","45","3.3","2000","3100","0.77","0.46","0.34","7.6","7.1","14.4","0.3","5.5","64","26.7","3.93","3.2","4.43","0.51","38.6","0.067","7.6"
"Deep Bay","DM1","2002-06-13","1","Surface Water","2.2","2.5","2.5","38","2.7","1700","2400","1.1","0.22","0.3","7.8","1.9","13.5","0.5","5.4","24","28.3","3.82","3.4","4.72","0.43","31.6","0.108","2.6"
"Deep Bay","DM1","2002-07-12","1","Surface Water","2","2.4","14","57","3.9","680","1200","0.56","0.25","0.3","6.7","10","15.4","0.5","4.2","31","30.3","3.21","3.2","4.01","0.48","29","0.009","9.4"
"Deep Bay","DM1","2002-08-14","1","Surface Water","4.8","2.5","8","33","2.5","3300","7100","0.45","0.34","0.27","7.8","3.8","5.9","0.5","7.6","91","29","3.29","3.4","4.19","0.41","88.1","0.115","11"
"Deep Bay","DM1","2002-09-12","1","Surface Water","9","5.7","1","39","3","28000","48000","0.4","0.39","0.46","7.6","16","11.3","0.1","9.5","280","25.4","6.49","7","7.79","0.91","326.8","0.141","26"
"Deep Bay","DM1","2002-10-10","1","Surface Water","6.9","3.8","2.3","46","3.6","9900","13000","1.1","0.62","0.24","7.6","5.1","15.1","0.2","8.8","130","22.8","5.52","4.9","6.62","0.54","95.1","0.079","13"
"Deep Bay","DM1","2002-11-22","1","Surface Water","6","4.5","<0.2","44","3.5","5100","6900","0.29","0.2","0.4","7.3","17","21.4","0.5","5.5","120","20.8","4.99","5.2","5.69","0.67","121.9","0.03","22"
"Deep Bay","DM1","2002-12-19","1","Surface Water","4.3","5.4","4.6","35","2.7","13000","18000","0.15","0.12","0.64","7.4","5.4","23","0.2","5.6","66","20.9","5.67","7","7.27","0.88","58.2","0.054","8.6"
"Deep Bay","DM2","2002-01-15","1","Surface Water",">6.6","3.2","3.8","75","6","6500","10000","0.55","0.28","0.28","8.1","35","21.6","0.5","1.5","27","19.4","4.03","5.7","6.53","0.59","39.5","0.116","6.4"
"Deep Bay","DM2","2002-02-15","1","Surface Water","2.6","5.2","2","58","4.6","90","90","0.26","0.16","0.55","7.6","4.2","25.1","0.5","4.3","19","19.3","5.62","5.7","6.12","0.58","31.9","0.065","2.9"
"Deep Bay","DM2","2002-03-15","1","Surface Water","3.3","3.5","5.8","55","4.1","110","160","0.29","0.25","0.37","7.8","9.8","25.2","0.5","3.4","25","22","4.04","4.1","4.64","0.46","27.9","0.079","3.4"
"Deep Bay","DM2","2002-04-17","1","Surface Water","1.8","3.8","2.1","46","3.4","170","190","0.45","0.26","0.45","7.7","3.7","21.1","0.5","5","14","24.9","4.51","4.3","5.01","0.49","22.2","0.097","2.1"
"Deep Bay","DM2","2002-05-17","1","Surface Water","3.7","1.5","1.3","54","4","380","890","0.9","0.5","0.29","7.6","4.7","15.1","0.5","4.6","30","26.7","2.9","2","3.4","0.36","31.9","0.039","3.6"
"Deep Bay","DM2","2002-06-13","1","Surface Water","1.6","0.47","1.8","58","4.2","320","540","1.5","0.22","0.091","7.9","1.5","13.7","0.5","3.5","16","28.1","2.19","0.82","2.54","0.21","32","0.027","1.3"
"Deep Bay","DM2","2002-07-12","1","Surface Water","3.1","1.8","32","89","6.1","490","830","0.53","0.19","0.28","7.3","9.6","16.2","0.5","3.6","28","30.1","2.52","2.8","3.52","0.33","18.6","0.032","11"
"Deep Bay","DM2","2002-08-14","1","Surface Water","3.7","1.7","7.4","44","3.2","1700","2400","0.56","0.31","0.19","7.9","6","8","0.5","6.3","85","28.8","2.57","2.5","3.37","0.36","60.5","0.088","9.9"
"Deep Bay","DM2","2002-09-12","1","Surface Water","7.7","4.6","1.7","59","4.5","24000","50000","0.32","0.34","0.35","7.7","15","14","0.2","8.3","150","25.5","5.26","5.8","6.46","0.64","126.7","0.125","15"
