"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2009-01-12","1","Surface Water","5.6","5.2","190","67","6","10000","19000","0.41","0.33","0.24","7.5","35","22.7","0.7","3","220","13.8","5.94","7.9","8.64","0.81","104.4","0.034","31"
"Deep Bay","DM1","2009-02-11","1","Surface Water","4.8","3.4","3.5","13","1","3600","4700","0.66","0.3","0.32","6.9","21","22.2","0.1","5.2","180","21","4.36","4.3","5.26","0.62","37.8","0.012","28"
"Deep Bay","DM1","2009-03-04","1","Surface Water","2.5","4.4","1.7","41","3.3","1500","2200","0.71","0.23","0.52","7.1","1.2","20.9","0.6","6.1","24","20.5","5.34","4.4","5.34","0.56","24.6","0.02","4"
"Deep Bay","DM1","2009-04-15","1","Surface Water","1.9","1.2","2.5","77","5.6","66","100","0.94","0.22","0.19","7.9","3.7","23.3","0.5","4.8","12","25","2.36","1.5","2.66","0.25","17.6","0.04","3.4"
"Deep Bay","DM1","2009-05-15","1","Surface Water","2","1.6","2.8","69","4.8","98","180","0.7","0.21","0.3","7.2","3.3","21","0.8","3.6","22","27.8","2.51","2","2.91","0.36","26.5","0.017","4.3"
"Deep Bay","DM1","2009-06-22","1","Surface Water","4","4.8","16","46","3.3","1800","2400","0.15","0.23","0.46","7.4","7.5","8.2","0.1","8.5","38","30.6","5.18","5.7","6.08","0.65","99.6","0.108","8"
"Deep Bay","DM1","2009-07-23","1","Surface Water","1.8","1.7","3.4","39","2.7","820","1700","0.51","0.3","0.25","7.4","4.4","11","0.4","6.9","12","30.5","2.51","2.1","2.91","0.29","18.8","0.033","3.6"
"Deep Bay","DM1","2009-08-20","1","Surface Water","2.1","1.7","4.6","71","4.8","520","1200","0.6","0.34","0.25","7.3","3.4","11.3","0.4","8.2","12","33.2","2.64","2","2.94","0.32","14.4","0.033","3.7"
"Deep Bay","DM1","2009-09-23","1","Surface Water","5.4","4.4","12","54","3.9","1900","4200","0.21","0.26","0.44","7.4","9.4","11.2","0.2","8.3","52","29.3","4.87","4.7","5.17","0.53","27.1","0.092","13"
"Deep Bay","DM1","2009-10-19","1","Surface Water","2.4","3.7","9.8","70","4.9","620","990","0.33","0.26","0.38","7.7","4.9","22.1","0.5","4.6","24","26.7","4.29","3.9","4.49","0.45","25.2","0.093","5"
