"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1999-01-06","1","Surface Water","4","7.4","<0.2","35","2.9","14000","19000","0.34","0.21","0.72","7","6.2","18.7","0.1","6","110","17.8","7.95","7.8","8.35","1","41.6","0.023","10"
"Deep Bay","DM1","1999-02-05","1","Surface Water","3.4","5.9","1.7","60","5.1","2500","2900","0.33","0.18","0.58","7.5","4.3","22.1","0.5","5.2","92","16.1","6.41","7.8","8.31","0.96","49.4","0.047","9"
"Deep Bay","DM1","1999-03-08","1","Surface Water","6.6","3.2","0.5","71","5.2","110","190","0.85","0.36","0.43","7.5","8.6","25.1","0.1","4","180","23.3","4.41","4.1","5.31","0.76","66","0.042","17"
"Deep Bay","DM1","1999-04-08","1","Surface Water","2.4","3","3","62","4.5","130","130","0.62","0.32","0.44","7.7","3.3","26.4","0.5","3.9","47","23.2","3.94","3.2","4.14","0.5","22.3","0.054","5"
"Deep Bay","DM1","1999-05-07","1","Surface Water","3.7","2.8","2.3","57","4.2","1200","1600","0.47","0.26","0.47","7.6","2.2","22.6","0.5","4.5","47","23.3","3.53","3.4","4.13","0.55","20.3","0.045","5"
"Deep Bay","DM1","1999-06-04","1","Surface Water","4","0.13","31","112","7.7","16","52","1","0.15","0.11","8.2","6.2","14.5","0.5","5.8","25","30.6","1.28","0.72","1.87","0.22","15","0.014","4"
"Deep Bay","DM1","1999-07-05","1","Surface Water","6","2.2","12","46","3.3","920","2200","0.7","0.73","0.5","7.3","14","6.7","0.3","8.1","58","30.3","3.63","3","4.43","0.75","66.9","0.039","9.8"
"Deep Bay","DM1","1999-08-02","1","Surface Water","3.7","0.88","21","72","4.9","210","430","0.75","0.41","0.26","7.9","19","12.6","0.5","0.94","82","31.7","2.04","2.4","3.56","0.53","41.2","0.059","12"
"Deep Bay","DM1","1999-09-01","1","Surface Water","3.9","2","2.3","25","1.8","850","1300","0.76","0.43","0.2","7.3","5.1","5.5","0.3","8.8","77","29.9","3.19","2.7","3.89","0.35","70.6","0.03","7.5"
"Deep Bay","DM1","1999-10-11","1","Surface Water","1.9","2.2","3.1","52","3.6","790","1100","0.76","0.34","0.3","7.2","2.8","16.8","0.7","5.9","72","28.8","3.3","3","4.1","0.45","85.1","0.027","10"
"Deep Bay","DM1","1999-11-10","1","Surface Water","2.7","3.6","5.3","78","5.7","1100","1800","0.58","0.38","0.46","7.4","4.8","22.8","0.3","5.9","40","24","4.56","4.1","5.06","0.61","22.6","0.036","4.4"
"Deep Bay","DM1","1999-12-09","1","Surface Water","2.9","4.6","1.2","69","5.8","9100","12000","0.36","0.2","0.49","7.5","7.3","22.3","0.5","4.7","19","17.2","5.16","5.7","6.26","0.63","12.1","0.036","2.4"
"Deep Bay","DM2","1999-01-06","1","Surface Water","3.2","4.6","0.2","42","3.5","2200","2800","0.45","0.24","0.45","7.1","6.7","22.1","0.1","4.2","160","18","5.29","5","5.69","0.78","62.4","0.018","13"
"Deep Bay","DM2","1999-02-05","1","Surface Water","2.1","4.6","0.3","81","6.9","460","490","0.37","0.2","0.48","7.6","1.9","23.8","0.5","4.3","38","16.1","5.17","5.5","6.07","0.63","19.4","0.042","4"
"Deep Bay","DM2","1999-03-08","1","Surface Water","4.7","2","0.8","86","6.3","56","77","0.72","0.28","0.29","7.6","6","26.7","0.2","3.3","130","23.2","3","2.6","3.6","0.57","58.7","0.032","12"
"Deep Bay","DM2","1999-04-08","1","Surface Water","2","2.1","1.6","71","5.2","19","26","0.58","0.26","0.32","7.7","4.4","27.5","0.5","3.6","17","23","2.94","2.4","3.24","0.42","15.5","0.045","2.1"
"Deep Bay","DM2","1999-05-07","1","Surface Water","2.2","2.5","0.9","70","5.2","910","1000","0.48","0.26","0.45","7.7","2.8","22.7","0.5","4.2","23","23.3","3.24","3","3.74","0.5","15.2","0.053","2.5"
"Deep Bay","DM2","1999-06-04","1","Surface Water","6.1","0.22","53","112","7.7","8","25","1","0.2","0.15","8.1","8.4","14.8","0.5","6.1","22","30.6","1.42","1.1","2.3","0.28","11.8","0.023","5"
"Deep Bay","DM2","1999-07-05","1","Surface Water","4.5","1.1","8","54","3.8","940","2000","0.83","0.77","0.37","7.4","9.4","7.7","0.3","6.9","61","30.4","2.7","1.8","3.4","0.61","66.6","0.021","7.9"
"Deep Bay","DM2","1999-08-02","1","Surface Water","2","0.095","3","64","4.4","44","110","0.73","0.16","0.11","7.9","16","12.9","0.5","5.3","130","31","0.99","0.82","1.71","0.34","32","0.006","14"
"Deep Bay","DM2","1999-09-01","1","Surface Water","3.2","1.7","2.2","28","2.1","1500","2200","0.8","0.43","0.15","7.3","4.4","6.4","0.3","8.5","59","29.4","2.93","2.5","3.73","0.4","37.3","0.023","6.2"
"Deep Bay","DM2","1999-10-11","1","Surface Water","1.7","1.8","3.3","59","4","320","520","0.7","0.28","0.27","7.4","1.7","21.6","0.5","5.2","27","28.4","2.78","2.5","3.48","0.33","49.6","0.027","3.3"
"Deep Bay","DM2","1999-11-10","1","Surface Water","1.9","2.2","3.4","82","6","440","570","0.5","0.28","0.35","7.5","5.6","25.6","0.3","3.9","42","24.1","2.98","2.7","3.48","0.43","19.4","0.029","4.2"
"Deep Bay","DM2","1999-12-09","1","Surface Water","2.3","3","1","79","6.5","2900","4200","0.36","0.17","0.39","7.6","5.7","25.3","0.5","3.8","32","17.2","3.53","3.9","4.43","0.47","15.2","0.033","4.3"
"Deep Bay","DM3","1999-01-06","1","Surface Water","1.5","1","10","92","7.3","7","9","0.47","0.14","0.14","7.6","6.1","26.6","0.7","1.4","18","18.7","1.61","1.3","1.91","0.2","9.5","0.011","2.6"
"Deep Bay","DM3","1999-02-05","1","Surface Water","1.6","0.9","0.7","102","8.2","18","24","0.31","0.083","0.12","7.9","0.5","28.2","0.5","1.8","6.1","17.3","1.29","1","1.39","0.15","6.9","0.019","1.7"
"Deep Bay","DM3","1999-03-08","1","Surface Water","1.4","0.92","1.9","85","6.2","30","36","0.4","0.1","0.15","7.8","<0.2","28.2","0.7","2","17","23","1.42","1.1","1.6","0.19","9.3","0.025","2.2"
"Deep Bay","DM3","1999-04-08","1","Surface Water","1.7","0.86","4","73","5.3","1","3","0.41","0.11","0.14","7.9","3.7","29.7","1","2","4.7","22.5","1.38","1.1","1.62","0.16","4.8","0.024","0.6"
"Deep Bay","DM3","1999-05-07","1","Surface Water","1.7","1.1","5","82","6","36","69","0.54","0.19","0.2","7.9","2","25.2","1","2.8","7.3","23.6","1.83","1.4","2.13","0.27","6.2","0.035","1.2"
"Deep Bay","DM3","1999-06-04","1","Surface Water","3.7","0.031","24","108","7.6","37","87","0.99","0.11","0.041","8.2","6.3","15.2","1","5.5","16","29.2","1.13","0.59","1.69","0.12","6.5","0.003","5.2"
"Deep Bay","DM3","1999-07-05","1","Surface Water","1.5","<0.005","9.1","62","4.5","380","690","0.97","0.19","0.079","7.6","2.4","10.4","2","7.3","11","29.6","1.17","0.29","1.45","0.19","21.3","0.001","1.8"
"Deep Bay","DM3","1999-08-02","1","Surface Water","1.3","0.012","4.2","71","5","50","100","0.71","0.092","0.047","8.1","3","13.4","0.5","4.8","10","30.1","0.81","0.51","1.31","0.09","22.9","0.001","2"
"Deep Bay","DM3","1999-09-01","1","Surface Water","2.4","0.06","7","43","3.2","80","150","1.1","0.24","0.046","7.6","2.8","10.9","0.5","6.7","6.9","28.2","1.4","0.41","1.75","0.08","9.7","0.002","1.2"
"Deep Bay","DM3","1999-10-11","1","Surface Water","0.8","0.62","3.2","76","5","12","29","0.68","0.22","0.15","7.7","0.3","24.8","1","3.3","12","29.7","1.52","0.88","1.78","0.19","23.5","0.018","1.4"
