"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM5","1992-06-17","1","Middle Water","3.2","0.04","10","103","6.8","1","1","0.081","<0.002","0.016","8.2","9.7","27.2","1.5","1.26","3","26.1","0.12","0.55","0.63","0.04","3.5","0.003","1.5"
"Southern","SM5","1992-06-17","1","Bottom Water","3.1","0.038","6.9","80","5.5","1","3","0.067","<0.002","0.017","8.2","14","31.5","1.5","0.97","3","25.8","0.11","0.52","0.59","0.04","3.3","0.002","1.5"
"Southern","SM5","1992-08-06","1","Surface Water","4.4","0.169","1.1","161","10.4","1","3","0.014","0.003","0.019","8.3","11","26","1.2","2.45","3","28.8","0.19","0.91","0.93","0.12","2.7","0.017","1"
"Southern","SM5","1992-08-06","1","Middle Water","1.8","0.115","0.5","61","4.1","1","2","0.085","0.021","0.028","7.9","1.3","30.6","1.2","1.84","2","25.7","0.22","0.55","0.66","0.03","1.8","0.004","1"
"Southern","SM5","1992-08-06","1","Bottom Water","1.2","0.051","0.5","51","3.6","2","2","0.078","0.036","0.024","7.8","0.6","33.4","1.2","1.27","1.5","24.5","0.17","0.5","0.61","0.15","1.8","0.001","0.5"
"Southern","SM5","1992-10-30","1","Surface Water","0.6","<0.005","0.2","99","6.9","1","1","0.06","0.013","0.036","7.9","1.3","33.2","2","1.4","5.5","24.5","0.08","0.47","0.54","0.11","5.3","0.001","2.5"
"Southern","SM5","1992-10-30","1","Middle Water","0.5","<0.005","0.4","111","7.8","1","1","0.064","0.01","0.032","7.9","0.7","33.2","2","1.21","8","24.2","0.08","0.55","0.62","0.11","5.3","0.001","2"
"Southern","SM5","1992-10-30","1","Bottom Water","0.7","<0.005","0.3","97","6.8","1","1","0.049","0.008","0.043","7.9","0.9","33.2","2","1.31","14","24.2","0.06","0.49","0.55","0.12","11","0.001","2.5"
"Southern","SM5","1992-12-09","1","Surface Water","0.7","0.115","0.8","66","5.5","1","1","0.017","0.002","0.019","8.2","<0.2","33","1.6","0.75","3","20","0.13","0.39","0.41","0.02","5.9","0.005","2"
"Southern","SM5","1992-12-09","1","Middle Water","0.7","0.018","0.3","65","5.4","2","2","0.069","0.026","0.017","8.2","0.7","33","1.6","0.89","7","20","0.11","0.36","0.46","0.02","5.8","0.001","3"
"Southern","SM5","1992-12-09","1","Bottom Water","0.5","0.051","1.2","63","5.3","1","1","0.073","0.007","0.013","8.2","<0.2","33","1.6","0.84","17","20","0.13","0.37","0.45","<0.02","13","0.002","1.5"
"Southern","SM6","1992-02-25","1","Surface Water","0.8","0.015","0.8","91","7.5","3","3","0.041","0.032","0.004","8.1","<0.2","32.1","2.2","0.87","3","15.4","0.09","0.07","0.14","0.16","3.6","0.001","0.5"
"Southern","SM6","1992-02-25","1","Middle Water","0.8","0.008","0.3","91","7.5","1","1","0.045","0.031","0.005","8.1","0.5","32.2","2.2","0.9","9.5","15.1","0.08","0.05","0.13","0.15","3.4","0.001","5"
"Southern","SM6","1992-02-25","1","Bottom Water","0.6","0.011","0.8","89","7.4","1","1","0.042","0.021","0.003","8.1","<0.2","32.2","2.2","0.89","16","15","0.07","0.06","0.12","0.19","6.2","0.001","6"
"Southern","SM6","1992-04-30","1","Surface Water","1.7","0.147","0.5","113","8","1","3","0.157","0.014","0.022","8.1","4.7","25.8","1.6","1.7","3","23.4","0.32","0.37","0.54","0.08","2.6","0.008","1"
"Southern","SM6","1992-04-30","1","Middle Water","1.7","0.126","2.7","110","7.9","1","2","0.048","0.006","0.015","8.1","4.1","30","1.6","0.61","2.5","22.5","0.18","0.29","0.34","0.06","1.9","0.006","1"
"Southern","SM6","1992-04-30","1","Bottom Water","1.1","0.105","1.6","89","6.5","2","2","0.028","0.002","0.011","8.1","1.8","31.7","1.6","0.35","1.5","20.8","0.14","0.18","0.21","0.09","1.2","0.004","0.5"
