"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2008-01-07","1","Surface Water","6","6.3","53","41","3.4","14000","24000","0.25","0.19","0.41","6.8","9.3","21.1","0.5","4.2","25","18.2","6.74","8.2","8.64","0.66","51","0.019","7.7"
"Deep Bay","DM1","2008-02-25","1","Surface Water","5.5","2.5","3.4","65","5.5","900","2000","0.59","0.29","0.3","7.5","12","24.4","1","4","110","16.7","3.38","3.5","4.38","0.49","67.7","0.022","11"
"Deep Bay","DM1","2008-03-26","1","Surface Water","3.9","3","0.6","41","3.3","400","790","0.7","0.29","0.34","7.3","5.7","21.9","0.1","4.6","88","20.2","3.99","3.7","4.69","0.54","68.1","0.02","11"
"Deep Bay","DM1","2008-04-21","1","Surface Water","1.8","3.3","3.3","31","2.4","1400","2800","1","0.3","0.27","7.3","2.7","13.9","0.6","5.6","21","24.7","4.6","3.8","5.1","0.35","21.1","0.038","4.4"
"Deep Bay","DM1","2008-05-22","1","Surface Water","1.1","2.9","2.8","56","4.1","1000","3600","0.62","0.21","0.34","7.5","2.3","20","1","4.4","14","25","3.73","3.2","4.03","0.4","18.2","0.047","2.8"
"Deep Bay","DM1","2008-06-24","1","Surface Water","4.7","1.2","70","128","9.4","1900","2700","0.72","0.31","0.16","8.3","16","4.4","0.6","6.6","26","30.4","2.23","2.4","3.43","0.34","29.4","0.156","13"
"Deep Bay","DM1","2008-07-21","1","Surface Water","3.4","1.8","14","85","6.1","1200","2000","0.64","0.34","0.15","7.3","13","4.8","0.1","5.9","38","31","2.78","2.5","3.48","0.24","34.7","0.027","9"
"Deep Bay","DM1","2008-08-18","1","Surface Water","2.5","2.1","22","91","6.4","640","1700","0.52","0.42","0.23","6.9","11","10.2","0.5","3.4","28","31.5","3.04","3","3.94","0.32","29.1","0.016","6.5"
"Deep Bay","DM1","2008-09-17","1","Surface Water","1.4","2.5","4.9","23","1.6","400","670","0.37","0.23","0.31","6.2","4.8","16.8","0.1","6.3","24","30.6","3.1","3.1","3.7","0.38","32.3","0.003","4.1"
"Deep Bay","DM1","2008-10-15","1","Surface Water","1.7","2.9","5.4","51","3.7","510","1000","0.33","0.22","0.27","7.7","2.4","20.7","0.1","5.9","24","26","3.45","3.3","3.85","0.35","27.7","0.078","4.1"
"Deep Bay","DM1","2008-11-14","1","Surface Water","2.3","2.3","32","101","7.7","1000","2000","0.4","0.32","0.28","7.9","9.4","23.3","0.7","2.1","50","22","3.02","3.4","4.12","0.37","31","0.064","8.4"
"Deep Bay","DM1","2008-12-11","1","Surface Water","7.1","3.8","130","111","9.1","19000","28000","0.2","0.29","0.27","7.7","37","23","0.6","1.1","50","18.6","4.29","5","5.49","0.45","31.9","0.053","16"
"Deep Bay","DM2","2008-01-07","1","Surface Water","2.6","3.6","18","48","4","2800","4200","0.38","0.27","0.29","6.8","5.6","24.3","0.3","2.8","21","18.1","4.25","4.5","5.15","0.41","29.6","0.01","4.2"
"Deep Bay","DM2","2008-02-25","1","Surface Water","3.2","2.1","2.1","68","5.7","740","1100","0.62","0.26","0.25","7.5","6.6","24.8","0.6","3.8","51","16.7","2.98","2.9","3.78","0.36","38.8","0.019","6.5"
"Deep Bay","DM2","2008-03-26","1","Surface Water","1.7","2.9","1","47","3.8","200","470","0.69","0.28","0.32","7.4","1.7","22.1","0.2","4.8","19","20.2","3.87","3.5","4.47","0.39","25.6","0.023","5.9"
"Deep Bay","DM2","2008-04-21","1","Surface Water","2.1","2.5","4.4","60","4.6","800","1500","1.1","0.31","0.22","7.4","3.4","16.9","0.7","5.3","13","24.6","3.91","3.1","4.51","0.26","17.2","0.035","4.4"
"Deep Bay","DM2","2008-05-22","1","Surface Water","1","2.7","2.3","59","4.4","1400","1900","0.62","0.22","0.32","7.5","2.2","19.8","1.1","4.3","11","25.2","3.54","3.1","3.94","0.36","15.9","0.042","3.2"
"Deep Bay","DM2","2008-06-24","1","Surface Water","3.4","2.2","120","127","9.4","770","1100","0.52","0.25","0.14","8.4","23","3.7","0.6","7.1","14","30","2.97","3.8","4.57","0.33","21.6","0.357","14"
"Deep Bay","DM2","2008-07-21","1","Surface Water","4.7","2.6","78","115","8.3","1200","1900","0.49","0.42","0.15","7.8","33","3.6","0.1","5.8","37","31","3.51","3.3","4.21","0.44","41","0.14","11"
"Deep Bay","DM2","2008-08-18","1","Surface Water","3.2","2.1","40","97","6.8","600","1400","0.47","0.48","0.2","7.6","21","10","0.6","1.4","27","31","3.05","3.1","4.05","0.29","27.1","0.066","8"
"Deep Bay","DM2","2008-09-17","1","Surface Water","1","1.9","8.4","37","2.5","91","160","0.35","0.23","0.3","6.6","3.7","18.8","0.2","6.2","14","30.3","2.48","2.6","3.18","0.36","20.9","0.014","3"
"Deep Bay","DM2","2008-10-15","1","Surface Water","1.1","2.5","3.8","64","4.6","100","220","0.34","0.22","0.28","8","1.6","22.6","0.2","5.7","15","25.9","3.06","2.8","3.36","0.33","20.7","0.116","3"
"Deep Bay","DM2","2008-11-14","1","Surface Water","2.4","1.9","50","132","9.9","620","1100","0.35","0.25","0.22","8.1","16","24.6","0.8","1","23","22.2","2.5","2.7","3.3","0.28","21.7","0.096","4.6"
"Deep Bay","DM2","2008-12-11","1","Surface Water","8.2","2.6","170","201","16.1","6900","11000","0.31","0.3","0.19","7.9","29","26","0.7","0.12","30","18.4","3.21","4.7","5.31","0.51","31.8","0.061","13"
"Deep Bay","DM3","2008-01-07","1","Surface Water","1.9","1.4","9.7","92","7.4","140","170","0.41","0.2","0.15","6.7","2.9","27.5","0.4","1.4","13","18.2","2.01","1.8","2.41","0.21","12.8","0.004","3.4"
"Deep Bay","DM3","2008-02-25","1","Surface Water","1","0.59","3.4","95","7.9","51","90","0.53","0.11","0.077","7.9","3.3","28.1","0.8","2.2","20","16","1.23","0.99","1.63","0.12","20.3","0.011","3.8"
