"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2001-01-11","1","Surface Water",">8","3.5","210","99","8.2","6500","8900","0.48","0.21","0.4","8.6","210","23.7","0.5","1.1","20","17","4.19","5.1","5.79","0.71","209.6","0.35","2.8"
"Deep Bay","DM1","2001-02-12","1","Surface Water","2.1","6.7","6","26","2.1","6200","6500","0.16","0.13","0.72","7.3","7.5","21.3","0.5","5.9","84","18.6","6.99","7.2","7.49","0.9","166.6","0.044","10"
"Deep Bay","DM1","2001-03-14","1","Surface Water","0.3","4.5","5.1","32","2.6","2600","3200","0.65","0.32","0.51","6.8","7.4","23.2","0.5","5.5","130","19.5","5.47","4.9","5.87","0.82","167.4","0.015","9"
"Deep Bay","DM1","2001-04-17","1","Surface Water","5.2","5.4","8.4","38","2.9","200000","220000","0.32","0.11","0.58","7.3","1.5","17.2","0.5","6.1","44","23.6","5.83","6","6.43","0.78","91.1","0.056","9.8"
"Deep Bay","DM1","2001-05-11","1","Surface Water","1.7","3.3","4","51","3.7","550","1000","0.68","0.28","0.49","7.4","<0.2","15","0.5","7.6","16","27.2","4.26","3.9","4.86","0.54","33.4","0.055","2.3"
"Deep Bay","DM1","2001-06-14","1","Surface Water","7.7","4.5","1.9","10","0.8","610000","1500000","0.5","0.19","0.32","7.3","2","0.3","0.5","10","32","27.2","5.19","5.7","6.39","0.57","55.4","0.057","7.9"
"Deep Bay","DM1","2001-07-09","1","Surface Water","1.4","1.6","1.4","60","4.5","3800","9500","0.7","0.36","0.19","6.2","1.4","3.9","0.5","8","20","29.4","2.66","2","3.06","0.27","35.1","0.002","3.5"
"Deep Bay","DM1","2001-08-22","1","Surface Water","3.2","2.6","9","39","2.7","3600","6600","0.33","0.26","0.27","7.9","12","11.9","0.5","4.7","31","30.8","3.19","3.1","3.69","0.37","25.4","0.18","4.4"
"Deep Bay","DM1","2001-09-20","1","Surface Water","4.2","2.8","2.6","25","1.8","5600","10000","0.38","0.33","0.3","7.3","9.5","13.4","1","7.1","74","29","3.51","3.4","4.11","0.42","53.5","0.043","9.7"
"Deep Bay","DM1","2001-10-19","1","Surface Water","2.8","4.2","3.3","48","3.5","490","830","0.25","0.35","0.46","7.3","4.8","20.6","0.5","6.5","30","25.3","4.8","4.6","5.2","0.53","100.5","0.04","4.5"
