"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1995-01-19","1","Surface Water","1.3","5","0.7","41","3.5","12000","18000","0.28","0.13","0.53","7.6","0.5","24.7","0.4","4.8","38","17.9","5.41","6.2","6.61","0.62","13","0.057","8.2"
"Deep Bay","DM1","1995-02-17","1","Surface Water","1.5","2.8","1.1","68","6.1","2200","2900","0.13","0.084","0.44","7.9","5.7","25.1","0.5","1.3","57","16.3","3.01","6.1","6.31","0.57","31","0.056","8.8"
"Deep Bay","DM1","1995-03-20","1","Surface Water","2.3","4","1.7","59","5.1","4900","5300","0.43","0.23","0.48","7.5","2.4","22.3","0.4","4.3","64","17","4.66","5.8","6.46","0.5","45","0.031","11"
"Deep Bay","DM1","1995-04-19","1","Surface Water","1","3.3","1.7","39","3.2","900","900","0.42","0.17","0.59","7.4","1.1","18.4","0.5","5.7","28","26.4","3.89","4.3","4.89","0.64","27","0.046","3.2"
"Deep Bay","DM1","1995-05-18","1","Surface Water","1.1","2.8","4","36","2.7","1100","1600","0.29","0.1","0.4","7.4","0.8","15","0.5","3.6","43","25.2","3.19","3.1","3.49","0.47","26","0.039","11"
"Deep Bay","DM1","1995-06-15","1","Surface Water","2.9","4.3","5.3","39","2.8","28000","38000","0.25","0.19","0.48","7.4","7.5","10","0.2","12","80","28.6","4.74","4.6","5.04","0.7","70","0.077","9.6"
"Deep Bay","DM1","1995-07-17","1","Surface Water","1.5","1.8","1","27","1.9","3000","9000","0.64","0.28","0.23","7.5","1.9","6.6","0.5","8.7","29","28.9","2.72","4","4.92","0.32","27","0.04","3.6"
"Deep Bay","DM1","1995-08-18","1","Surface Water","2.8","4.1","14","7","0.5","170000","210000","0.28","0.12","0.43","7.3","2.7","3.5","0.4","14","20","28.6","4.5","4.9","5.3","0.57","21","0.055","4.4"
"Deep Bay","DM1","1995-09-11","1","Surface Water","1.8","3.7","12","23","1.5","5200","7000","0.34","0.38","0.43","7.5","2.7","6.9","0.2","9.8","60","31.3","4.42","4.9","5.62","0.51","39","0.095","6.8"
"Deep Bay","DM1","1995-10-12","1","Surface Water","1.1","2.2","2.4","65","4.9","9000","11000","0.4","0.23","0.22","7.7","2.8","14.6","0.5","6.9","87","25.3","2.83","4.1","4.73","0.37","50","0.055","9.2"
"Deep Bay","DM1","1995-11-09","1","Surface Water","1.8","4.8","1.9","39","3.1","8000","14000","0.18","0.097","0.47","7.3","1.7","19.7","0.5","6.3","24","22","5.08","5.6","5.88","0.63","28","0.041","2.9"
"Deep Bay","DM1","1995-12-11","1","Surface Water","2.3","4.2","<0.2","57","5.5","4700","5800","0.28","0.11","0.49","7.6","1","24.2","0.5","4.7","42","17","4.59","5","5.39","0.82","8.8","0.045","4.2"
"Deep Bay","DM2","1995-01-19","1","Surface Water","0.9","3.2","<0.2","61","5.1","1600","1800","0.35","0.14","0.36","7.7","1.2","27.2","1","3.7","16","17.7","3.69","3.3","3.79","0.43","12","0.046","3.4"
"Deep Bay","DM2","1995-02-17","1","Surface Water","1.4","1.2","1.1","78","7","350","470","0.14","0.063","0.23","8.2","2.1","27.8","0.5","0.99","42","16.5","1.4","2.8","3","0.27","19","0.045","6.7"
"Deep Bay","DM2","1995-03-20","1","Surface Water","0.7","2.1","1.3","74","6.4","1300","1400","0.41","0.18","0.24","7.6","1.7","24.4","0.4","3.5","57","17.1","2.69","4","4.59","0.32","29","0.024","12"
"Deep Bay","DM2","1995-04-19","1","Surface Water","0.8","2.8","2.6","52","3.8","360","370","0.48","0.19","0.48","7.5","<0.2","18.9","0.8","5.2","17","26.1","3.47","3.8","4.47","0.5","16","0.048","2.3"
"Deep Bay","DM2","1995-05-18","1","Surface Water","0.9","2.4","4.4","44","3.3","700","790","0.32","0.11","0.34","7.6","<0.2","15.1","0.6","3.4","24","24.6","2.83","2.8","3.23","0.38","15","0.047","6.8"
"Deep Bay","DM2","1995-06-15","1","Surface Water","3.5","1.9","1.7","66","4.7","380","450","0.63","0.28","0.34","7.5","8","11.9","0.2","7.7","130","28.5","2.81","2.1","3.01","0.61","160","0.043","12"
"Deep Bay","DM2","1995-07-17","1","Surface Water","1.4","1.7","1.8","33","2.4","3000","5000","0.64","0.32","0.23","7.8","1.5","7.1","0.5","8.2","17","27.9","2.66","2.4","3.36","0.29","19","0.073","2.4"
"Deep Bay","DM2","1995-08-18","1","Surface Water","1.8","2.2","8.9","35","2.5","3300","4900","0.57","0.22","0.2","7.4","4.1","7.4","0.3","14","22","28.1","2.99","2.6","3.39","0.33","24","0.035","3.6"
"Deep Bay","DM2","1995-09-11","1","Surface Water","0.9","2.4","2.7","33","2.3","210","290","0.76","0.54","0.35","7.4","0.6","8.9","0.2","9.5","30","30.9","3.7","3.3","4.6","0.39","26","0.047","3.4"
"Deep Bay","DM2","1995-10-12","1","Surface Water","0.5","1.2","2.9","79","5.9","3000","4000","0.45","0.21","0.14","7.8","1.2","18.2","0.5","5","30","25.6","1.86","1.3","1.96","0.23","26","0.036","3.5"
"Deep Bay","DM2","1995-11-09","1","Surface Water","0.9","3.3","0.3","59","4.7","1900","2800","0.25","0.11","0.34","7.5","1.2","23.1","1","5.2","8.6","20.9","3.66","3.3","3.66","0.41","7.5","0.038","1"
"Deep Bay","DM2","1995-12-11","1","Surface Water","2","3.1","<0.2","69","6.7","4000","6100","0.33","0.11","0.38","7.7","<0.2","14.4","0.7","3.9","14","17","3.54","3.5","3.94","0.6","3.5","0.045","1.6"
"Deep Bay","DM3","1995-01-19","1","Surface Water","0.6","0.29","0.4","83","7","170","210","0.28","0.045","0.047","8","0.5","29.2","0.7","2","36","18.1","0.62","0.98","1.31","0.11","16","0.009","7.6"
"Deep Bay","DM3","1995-02-17","1","Surface Water","1.1","0.22","1.2","89","7.6","190","240","0.18","0.021","0.038","8.2","0.5","28.5","1","1.2","17","16.9","0.42","0.47","0.67","0.06","6.3","0.009","2.9"
"Deep Bay","DM3","1995-03-20","1","Surface Water","0.6","0.27","0.7","87","7.4","2500","2900","0.31","0.033","0.048","7.9","<0.2","26.6","0.6","2.1","36","17","0.61","0.64","0.98","0.07","15","0.005","8.7"
"Deep Bay","DM3","1995-04-19","1","Surface Water","0.5","0.36","1.3","82","6.3","220","270","0.56","0.083","0.063","7.8","0.5","18.5","1","4","12","22.6","1","0.54","1.18","0.25","13","0.009","1.5"
"Deep Bay","DM3","1995-05-18","1","Surface Water","1.1","0.8","3","70","5.3","3400","4000","0.36","0.079","0.12","7.7","<0.2","18.1","1.2","2.1","24","25.2","1.24","1","1.44","0.16","17","0.02","7.6"
"Deep Bay","DM3","1995-06-15","1","Surface Water","1.2","0.64","0.5","80","5.6","1400","1600","0.85","0.14","0.18","7.7","6.2","10.6","0.3","6.9","100","28.4","1.63","1.2","2.19","0.32","80","0.022","10"
"Deep Bay","DM3","1995-07-17","1","Surface Water","1.1","0.36","0.6","66","4.8","1200","1500","0.69","0.13","0.084","7.8","1.4","11.7","1","6.6","16","27.9","1.18","0.82","1.64","0.12","16","0.015","2"
"Deep Bay","DM3","1995-08-18","1","Surface Water","1.3","1.3","4.4","81","5.8","900","1100","0.82","0.27","0.14","7.7","2.4","9.3","0.8","9.4","9","27.6","2.39","1.9","2.99","0.21","11","0.042","2"
"Deep Bay","DM3","1995-09-11","1","Surface Water","1.3","0.052","6.1","78","5.4","130","160","0.81","0.16","0.063","7.9","1.7","12.2","0.5","7.3","15","30.7","1.02","0.24","1.21","0.12","16","0.003","2.3"
"Deep Bay","DM3","1995-10-12","1","Surface Water","0.4","0.14","1.4","97","7","150","210","0.41","0.12","0.037","8","0.8","22.8","1","3.5","18","26","0.67","0.51","1.04","0.1","17","0.007","2.3"
"Deep Bay","DM3","1995-11-09","1","Surface Water","0.8","0.84","2.5","84","6.5","15","20","0.15","0.063","0.1","7.8","1.9","29.7","1","2","12","22.5","1.05","0.81","1.02","0.17","21","0.021","1.6"
"Deep Bay","DM3","1995-12-11","1","Surface Water","0.8","0.76","1","88","8.4","85","640","0.22","0.064","0.13","7.9","<0.2","30.9","0.6","1.9","16","17.2","1.04","1","1.28","0.28","3.5","0.017","1.6"
"Deep Bay","DM4","1995-01-19","1","Surface Water","0.4","0.22","0.6","84","7.1","130","140","0.27","0.042","0.042","8.1","0.5","29.2","0.8","2","46","17.5","0.53","0.83","1.14","0.08","16","0.007","9.7"
"Deep Bay","DM4","1995-01-19","1","Bottom Water","0.4","0.24","0.3","82","6.9","170","180","0.22","0.041","0.048","8.1","0.5","30.8","0.8","1.6","39","17.6","0.5","0.72","0.98","0.09","19","0.007","8.5"
"Deep Bay","DM4","1995-02-17","1","Surface Water","1","0.21","1.1","80","6.8","140","150","0.16","0.019","0.037","8.2","0.4","N/A","1.2","0.98","15","16.9","0.39","0.38","0.56","0.04","6.6","N/A","2.3"
"Deep Bay","DM4","1995-02-17","1","Bottom Water","0.6","0.16","2","79","6.7","100","140","0.13","0.018","0.037","8.2","0.6","N/A","1.2","0.88","32","16.8","0.31","0.47","0.62","0.04","7.2","N/A","5.2"
"Deep Bay","DM4","1995-03-20","1","Surface Water","0.5","0.28","1","86","7.4","120","160","0.29","0.031","0.05","7.9","0.3","27.1","0.9","2","17","17","0.6","0.49","0.81","0.07","13","0.006","2.9"
"Deep Bay","DM4","1995-03-20","1","Bottom Water","0.5","0.22","1.1","86","7.4","800","1800","0.21","0.026","0.049","8","0.3","28.4","0.9","1.5","56","16.9","0.46","0.63","0.87","0.06","18","0.005","15"
"Deep Bay","DM4","1995-04-19","1","Surface Water","0.6","0.25","1.4","91","7.1","130","160","0.52","0.062","0.041","7.9","<0.2","20.1","1.5","3.8","6.6","22","0.83","0.3","0.88","0.25","6.1","0.007","1"
"Deep Bay","DM4","1995-04-19","1","Bottom Water","0.6","0.19","1.3","93","7.3","260","360","0.38","0.042","0.042","7.9","0.6","23.3","1.5","2.6","13","21.5","0.61","0.3","0.72","0.26","5.7","0.005","1.7"
"Deep Bay","DM4","1995-05-18","1","Surface Water","0.6","0.24","1.9","71","5.7","10","10","0.3","0.027","0.032","7.9","<0.2","22.1","1.6","1.8","20","25.7","0.57","0.5","0.83","0.05","7.7","0.01","7.4"
"Deep Bay","DM4","1995-05-18","1","Bottom Water","0.7","0.22","1.5","69","5.3","250","350","0.25","0.025","0.035","7.9","<0.2","22.1","1.6","1.4","33","24.7","0.5","0.51","0.79","0.07","17","0.009","9.2"
"Deep Bay","DM4","1995-07-17","1","Surface Water","1.1","0.12","0.6","77","5.5","200","520","0.74","0.055","0.046","7.9","0.8","12.3","1.2","7.1","7","29","0.92","0.46","1.26","0.07","7","0.007","1.4"
"Deep Bay","DM4","1995-07-17","1","Bottom Water","1.1","0.13","1","65","4.8","220","510","0.69","0.053","0.061","7.5","1.4","19.4","1.2","7.2","8.6","26.8","0.87","0.46","1.2","0.07","7.5","0.002","1.4"
"Deep Bay","DM4","1995-08-18","1","Surface Water","0.5","0.16","4.3","90","6.4","100","120","0.87","0.12","0.049","8","0.7","9.6","1","8.4","7","28.5","1.15","0.58","1.57","0.12","11","0.01","1.5"
"Deep Bay","DM4","1995-08-18","1","Bottom Water","0.3","0.14","0.8","69","5.1","170","360","0.63","0.11","0.055","7.8","<0.2","20.2","1","6.3","7.6","26.4","0.88","0.25","0.99","0.1","11","0.005","0.9"
"Deep Bay","DM4","1995-09-11","1","Surface Water","0.6","0.11","2.6","70","4.9","50","120","1","0.23","0.073","7.8","0.3","12.5","1","6.6","13","30.3","1.34","0.23","1.46","0.11","13","0.006","1.5"
"Deep Bay","DM4","1995-09-11","1","Bottom Water","0.5","0.08","2","69","4.9","290","470","0.73","0.16","0.055","7.9","0.4","16.6","1","6.2","13","28.9","0.97","0.22","1.11","0.1","13","0.005","1.5"
"Deep Bay","DM4","1995-10-12","1","Surface Water","0.2","0.084","1.9","102","7.6","100","150","0.46","0.1","0.038","8","<0.2","21.5","1.3","3.6","9","26.2","0.64","0.29","0.85","0.08","8.9","0.004","1.8"
"Deep Bay","DM4","1995-10-12","1","Bottom Water","1.6","0.076","1.4","71","5.1","120","250","0.32","0.11","0.033","8.1","0.4","25.3","1.3","3.3","15","26.2","0.51","0.73","1.16","0.51","15","0.004","2.2"
"Deep Bay","DM4","1995-11-08","1","Surface Water","0.4","0.1","1.4","90","6.4","110","150","0.07","0.034","0.039","8.3","1","31.6","0.6","1.2","17","23.4","0.2","0.21","0.31","0.11","9.9","0.007","2"
"Deep Bay","DM4","1995-11-08","1","Bottom Water","0.4","0.063","1.1","90","6.3","190","300","0.056","0.031","0.038","8.3","1.8","31.9","0.6","1.1","30","23.5","0.15","0.2","0.29","0.12","21.9","0.004","3"
"Deep Bay","DM4","1995-12-11","1","Surface Water","1.1","0.23","1.2","91","8.5","150","410","0.14","0.035","0.06","8.1","<0.2","32.1","1.5","1.4","5.5","18.7","0.41","0.34","0.52","0.2","1.2","0.008","0.9"
"Deep Bay","DM4","1995-12-11","1","Bottom Water","0.8","0.17","1.8","90","8.4","800","2400","0.079","0.029","0.04","8.1","<0.2","33.4","1.5","1","11","18.9","0.28","0.27","0.38","0.16","1.8","0.006","1.2"
"Deep Bay","DM5","1995-01-19","1","Surface Water","0.2","0.24","<0.2","84","7.7","90","110","0.2","0.04","0.049","8.1","1.1","31","0.8","1.6","46","17.9","0.48","0.8","1.04","0.09","13","0.007","11"
"Deep Bay","DM5","1995-01-19","1","Middle Water","0.3","0.24","0.3","85","7.2","130","140","0.2","0.038","0.049","8.1","0.8","31.2","0.8","1.5","40","17.5","0.48","0.75","0.99","0.08","14","0.007","9.4"
