"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2011-01-06","1","Surface Water","4","7.6","3.1","40","3.7","33000","51000","0.49","0.23","0.37","7.1","3.9","17.4","0.5","8.6","35","14.5","8.32","8.3","9.02","0.56","35.3","0.023","5.7"
"Deep Bay","DM1","2011-02-07","1","Surface Water","4.4","2.6","26","108","9.3","460","820","0.65","0.18","0.18","7.7","15","16","0.5","2.5","46","18","3.43","3.5","4.33","0.36","50.7","0.043","6.8"
"Deep Bay","DM1","2011-03-09","1","Surface Water","1.2","3.7","0.4","56","4.7","710","1000","0.69","0.46","0.3","7","3.2","20.3","0.6","5","24","18.2","4.85","4.2","5.35","0.34","18.2","0.011","3.2"
"Deep Bay","DM1","2011-04-21","1","Surface Water","3.5","1.8","31","79","5.9","110","150","0.41","0.22","0.24","7.4","7.8","20.9","0.8","1.5","22","24.5","2.43","2.3","2.93","0.33","14","0.023","4.6"
"Deep Bay","DM1","2011-05-06","1","Surface Water","2.8","1.8","6","52","3.7","470","1100","0.55","0.35","0.36","7","4.8","17.7","0.8","5.9","17","27","2.7","2.3","3.2","0.43","18.3","0.012","3.3"
"Deep Bay","DM1","2011-06-03","1","Surface Water","2.5","1","10","69","4.7","60","140","0.39","0.14","0.27","7.5","5.3","22","0.6","4.3","16","29.3","1.53","1.6","2.13","0.37","19.9","0.022","3.8"
"Deep Bay","DM1","2011-07-04","1","Surface Water","1.9","2.3","3.2","37","2.7","1800","3500","0.63","0.47","0.26","7.2","1.4","6","0.5","6.3","30","31.1","3.4","2.8","3.9","0.39","26.5","0.032","5"
"Deep Bay","DM1","2011-08-01","1","Surface Water","1","1.5","0.9","38","2.6","1800","4100","0.54","0.31","0.25","7.3","2.5","15.9","0.7","6.5","18","29.5","2.35","2","2.85","0.33","22.2","0.022","3.1"
"Deep Bay","DM1","2011-09-01","1","Surface Water","1.6","1.4","2.7","47","3.3","89","290","0.72","0.48","0.28","7.3","4.9","16.3","0.8","5.9","40","30.2","2.6","1.9","3.1","0.37","25.7","0.021","5.3"
"Deep Bay","DM1","2011-10-17","1","Surface Water","3.1","2.5","4.1","37","2.8","23000","34000","0.99","0.4","0.29","7.2","2.8","12.2","1","8","35","26.1","3.89","3.3","4.69","0.38","15.6","0.027","5.3"
"Deep Bay","DM1","2011-11-11","1","Surface Water","1.9","2.3","1.1","64","5","8800","16000","0.76","0.42","0.29","7.3","1.1","17.7","1","4.2","13","22.4","3.48","3","4.18","0.34","10.8","0.022","3"
"Deep Bay","DM1","2011-12-10","1","Surface Water","2.8","1.7","11","106","9.1","890","1100","2","0.51","0.22","7.9","4.7","20.5","0.5","2.4","24","17","4.21","2.4","4.91","0.31","17.1","0.034","4.3"
"Deep Bay","DM2","2011-01-06","1","Surface Water","1.9","3.3","1","64","5.7","4700","7500","0.5","0.25","0.27","7.3","2.3","22.9","0.6","5","32","14.4","4.05","3.6","4.35","0.35","31.3","0.013","4.5"
"Deep Bay","DM2","2011-02-07","1","Surface Water","4.8","1.3","46","108","9.2","87","140","0.63","0.18","0.085","8.1","26","17","0.4","0.68","27","18","2.11","2.4","3.21","0.25","26.5","0.059","6.9"
"Deep Bay","DM2","2011-03-09","1","Surface Water","1.4","2.7","0.7","66","5.5","180","270","0.72","0.45","0.25","7.2","2.5","21.9","0.6","4.2","17","18.2","3.87","3.2","4.37","0.27","15.5","0.012","2.3"
"Deep Bay","DM2","2011-04-21","1","Surface Water","1.9","1.7","8.9","62","4.6","55","85","0.45","0.27","0.24","7.4","3.4","21.1","0.9","2.1","10","24.7","2.42","2.2","2.92","0.29","8.4","0.02","2.6"
"Deep Bay","DM2","2011-05-06","1","Surface Water","3.3","2.3","10","79","5.6","370","1100","0.51","0.35","0.35","7.2","3.8","17.2","0.6","6.2","13","28.1","3.16","2.8","3.66","0.41","11.1","0.027","3.8"
"Deep Bay","DM2","2011-06-03","1","Surface Water","2.9","0.66","11","93","6.3","5","35","0.42","0.14","0.22","7.8","5.2","22.4","0.6","3.7","12","29.4","1.22","1.2","1.76","0.29","19.9","0.024","3.2"
"Deep Bay","DM2","2011-07-04","1","Surface Water","2.3","2","7.9","55","4","740","1300","0.68","0.52","0.25","7.3","1.9","6.4","0.8","5.9","17","31.1","3.2","2.6","3.8","0.32","22","0.037","3"
"Deep Bay","DM2","2011-08-01","1","Surface Water","0.7","1.3","1.6","48","3.3","550","1700","0.58","0.31","0.21","7.4","1.3","16.3","0.9","6.1","16","29.7","2.19","1.6","2.49","0.25","18.5","0.026","3.2"
"Deep Bay","DM2","2011-09-01","1","Surface Water","1.3","0.83","4.6","62","4.2","110","220","0.64","0.42","0.24","7.5","3.1","18.1","0.6","5.2","19","30","1.89","1.2","2.26","0.29","14.2","0.018","3.2"
"Deep Bay","DM2","2011-10-17","1","Surface Water","2","1.7","4.4","56","4.1","3800","9100","2.2","0.33","0.26","7.4","2.6","17.2","1","6.1","20","26.3","4.23","2.2","4.73","0.32","14.6","0.029","3.4"
"Deep Bay","DM2","2011-11-11","1","Surface Water","1.2","1.6","2.6","77","5.9","2000","5100","0.71","0.29","0.25","7.5","0.5","20.5","1","3.6","6.1","22.7","2.6","2.1","3.1","0.29","6","0.02","1.4"
"Deep Bay","DM2","2011-12-10","1","Surface Water","1.9","0.26","4.8","83","6.8","61","78","0.77","0.18","0.1","8","1.1","26.7","1.5","0.18","4.9","17.2","1.21","0.58","1.53","0.14","3.8","0.007","1.6"
"Deep Bay","DM3","2011-01-06","1","Surface Water","8","1.4","2.1","81","6.8","390","600","0.51","0.19","0.11","7.5","<0.2","27.9","0.6","3.4","17","15.1","2.1","1.9","2.6","0.18","22.3","0.011","2.6"
"Deep Bay","DM3","2011-02-07","1","Surface Water","4.1","0.098","36","157","12.5","1","6","0.3","0.066","0.003","8.5","24","29.2","0.5","<0.05","9.1","17.6","0.46","1","1.37","0.12","17.8","0.008","4.2"
"Deep Bay","DM3","2011-03-09","1","Surface Water","<0.1","0.7","0.8","78","6.3","31","51","0.68","0.16","0.08","7.4","1.4","26.3","1.2","1.8","11","18.2","1.54","0.91","1.75","0.13","9.8","0.006","2.3"
"Deep Bay","DM3","2011-04-21","1","Surface Water","3.9","0.46","23","118","8.6","6","9","0.56","0.14","0.035","7.9","8.6","23.8","0.8","0.39","13","24.1","1.16","1.2","1.9","0.13","9.5","0.015","4"
"Deep Bay","DM3","2011-05-06","1","Surface Water","1.4","0.44","4.4","74","5.3","15","37","0.93","0.19","0.088","7.4","3.3","21.3","0.6","2.7","9.2","26.3","1.56","0.63","1.75","0.12","7.9","0.006","1.7"
"Deep Bay","DM3","2011-06-03","1","Surface Water","1.4","0.27","3.2","79","5.4","1","27","0.65","0.083","0.068","7.8","1.6","22.9","0.6","2.6","6.8","28.7","1","0.47","1.2","0.1","13.6","0.01","1.6"
"Deep Bay","DM3","2011-07-04","1","Surface Water","1.1","0.079","3.7","77","5.5","140","250","1.8","0.45","0.07","7.5","0.7","9.1","0.6","4.6","6.8","30.6","2.33","0.37","2.62","0.1","17.3","0.002","2"
"Deep Bay","DM3","2011-08-01","1","Surface Water","0.4","0.28","1.1","59","4.1","25","110","0.73","0.23","0.079","7.6","<0.2","20","1","3.9","9","28.8","1.24","0.53","1.49","0.12","14.8","0.006","1.5"
"Deep Bay","DM3","2011-09-01","1","Surface Water","0.7","0.22","1.6","67","4.5","20","47","0.54","0.19","0.088","7.6","0.7","23.8","0.5","2.6","19","29.6","0.95","0.43","1.16","0.11","14.6","0.006","2.6"
"Deep Bay","DM3","2011-10-17","1","Surface Water","0.9","0.5","4.2","85","6","22","49","4.3","0.26","0.15","7.8","1.8","23.4","1.2","3.8","13","26.3","5.06","0.72","5.28","0.18","13","0.015","2.2"
"Deep Bay","DM3","2011-11-11","1","Surface Water","1.6","0.71","0.8","105","7.7","330","1100","0.58","0.17","0.14","7.8","0.4","25.5","1.1","1.8","2.8","23","1.46","0.94","1.69","0.16","2.8","0.018","1.3"
"Deep Bay","DM3","2011-12-10","1","Surface Water","1.6","0.1","9.7","106","8.3","3","5","0.51","0.11","0.053","7.9","8.3","29.3","1.5","0.14","11","18.6","0.72","0.4","1.02","0.09","6.2","0.002","2.2"
"Deep Bay","DM4","2011-01-06","1","Surface Water","0.7","0.36","1.7","84","6.9","120","220","0.38","0.095","0.048","7.7","0.3","29.8","0.6","2.1","16","16.7","0.84","0.45","0.93","0.09","25.6","0.005","2.5"
"Deep Bay","DM4","2011-01-06","1","Bottom Water","0.8","0.36","0.4","87","7.1","80","110","0.38","0.096","0.048","7.7","1.1","29.8","0.6","2.1","20","16.6","0.84","0.46","0.94","0.07","29","0.005","2.6"
"Deep Bay","DM4","2011-02-07","1","Surface Water","0.8","0.27","12","129","10.6","22","31","0.46","0.044","0.007","8","3.6","28.8","1","0.56","6.2","16.4","0.77","0.6","1.1","0.05","13.9","0.007","1.8"
"Deep Bay","DM4","2011-02-07","1","Bottom Water","0.6","0.24","11","135","11.1","21","33","0.44","0.039","0.004","8.1","4.2","29.5","1","0.43","5.2","16.4","0.72","0.56","1.04","0.04","16.3","0.007","1.7"
"Deep Bay","DM4","2011-03-09","1","Surface Water","<0.1","0.38","1","82","6.5","130","170","0.48","0.06","0.035","7.6","<0.2","28.4","1.3","1.2","5.3","17.8","0.92","0.63","1.17","0.06","5.6","0.004","0.8"
"Deep Bay","DM4","2011-03-09","1","Bottom Water","<0.1","0.37","1","81","6.5","210","310","0.47","0.058","0.033","7.6","<0.2","28.8","1.3","1.2","8.9","17.8","0.9","0.55","1.08","0.06","6.1","0.004","1.2"
"Deep Bay","DM4","2011-04-21","1","Surface Water","0.9","0.36","3.6","92","6.7","22","27","0.61","0.13","0.028","7.7","1.2","24.6","1","1.3","7.2","24","1.1","0.53","1.27","0.06","6.2","0.009","1.8"
"Deep Bay","DM4","2011-04-21","1","Bottom Water","1","0.36","4.6","87","6.4","130","220","0.54","0.11","0.028","7.7","0.9","25.7","1","1.1","9.1","23.6","1.01","0.55","1.2","0.05","6.8","0.008","1.8"
"Deep Bay","DM4","2011-05-06","1","Surface Water","1.2","0.37","2.5","79","5.6","17","65","0.89","0.17","0.051","7.5","1","22.3","1","2.3","5.6","26","1.43","0.59","1.65","0.07","5.4","0.007","1.2"
"Deep Bay","DM4","2011-05-06","1","Bottom Water","0.7","0.37","1.5","77","5.5","150","170","0.8","0.15","0.054","7.5","2","22.8","1","2.4","12","25.7","1.32","0.53","1.48","0.09","5.3","0.006","1.9"
"Deep Bay","DM4","2011-06-03","1","Surface Water","1","0.25","2.2","88","6.1","<1","8","0.71","0.079","0.044","7.9","1","22.5","0.7","2.5","2.9","28","1.04","0.43","1.22","0.07","8.8","0.011","0.9"
"Deep Bay","DM4","2011-06-03","1","Bottom Water","1","0.25","1.5","84","5.8","300","670","0.65","0.075","0.049","7.9","1.3","23.2","0.7","2.4","8.2","27.8","0.98","0.42","1.15","0.07","9.5","0.01","1.4"
"Deep Bay","DM4","2011-07-04","1","Surface Water","1.3","0.045","3.2","69","5","34","120","2","0.43","0.062","7.6","0.9","8.6","0.5","4.8","5.6","30.3","2.48","0.31","2.74","0.08","12.6","0.001","1.6"
"Deep Bay","DM4","2011-07-04","1","Bottom Water","1.2","0.1","2.7","75","5.4","310","590","1.5","0.42","0.074","7.5","0.8","12.1","0.5","4.3","12","29.3","2.02","0.32","2.24","0.1","15.9","0.002","1.7"
"Deep Bay","DM4","2011-08-01","1","Surface Water","0.5","0.17","<0.2","71","4.9","16","61","0.73","0.2","0.049","7.7","0.7","21.2","1.4","3.5","3.3","28.8","1.1","0.38","1.31","0.08","8.6","0.005","0.8"
"Deep Bay","DM4","2011-08-01","1","Bottom Water","0.6","0.17","1.7","66","4.6","110","280","0.68","0.19","0.051","7.7","0.8","21.6","1.4","3.6","4.7","28.2","1.04","0.39","1.26","0.09","10.2","0.005","1.1"
"Deep Bay","DM4","2011-09-01","1","Surface Water","0.6","0.12","1.6","61","4.1","570","970","0.56","0.26","0.044","7.6","1.5","24.3","0.5","2.5","17","29","0.94","0.32","1.14","0.08","13.2","0.003","2.9"
"Deep Bay","DM4","2011-09-01","1","Bottom Water","0.5","0.13","1.5","58","3.9","610","1200","0.57","0.26","0.052","7.6","1.7","24.4","0.5","2.5","24","28.9","0.96","0.34","1.17","0.08","16.4","0.003","3"
"Deep Bay","DM4","2011-10-17","1","Surface Water","0.8","0.18","1.9","79","5.6","56","180","0.88","0.3","0.066","7.8","0.8","23","1.4","2.9","4.9","26.9","1.36","0.39","1.57","0.09","5","0.007","1"
"Deep Bay","DM4","2011-10-17","1","Bottom Water","0.8","0.13","2.9","75","5.2","160","280","0.77","0.29","0.062","7.9","0.9","25.2","1.4","2.7","9.1","26.5","1.19","0.31","1.37","0.08","13","0.005","1.4"
"Deep Bay","DM4","2011-11-11","1","Surface Water","0.5","0.31","0.8","85","6.1","120","270","0.35","0.093","0.07","7.7","<0.2","29.1","1.2","1.2","6.7","23.8","0.75","0.49","0.93","0.09","3.5","0.007","2.1"
"Deep Bay","DM4","2011-11-11","1","Bottom Water","0.6","0.25","0.8","85","6","310","550","0.29","0.082","0.054","7.8","0.5","30.5","1.2","1.1","6.6","24.4","0.62","0.41","0.78","0.07","4.9","0.006","1.3"
"Deep Bay","DM4","2011-12-10","1","Surface Water","0.9","0.095","4.6","98","7.5","4","4","0.32","0.068","0.037","7.7","2.9","31.2","1.5","0.76","8.2","19.4","0.48","0.33","0.72","0.06","5.3","0.002","1.6"
"Deep Bay","DM4","2011-12-10","1","Bottom Water","0.9","0.097","3.4","99","7.5","6","7","0.32","0.068","0.036","7.7","2.3","31.2","1.5","0.75","8","19.4","0.49","0.31","0.7","0.06","5.4","0.002","1.4"
"Deep Bay","DM5","2011-01-06","1","Surface Water","0.8","0.12","0.6","65","5.1","550","1000","0.12","0.062","0.025","7.8","1.3","32.7","0.5","1.2","27","17.4","0.3","0.21","0.39","0.06","27.6","0.002","3.3"
"Deep Bay","DM5","2011-01-06","1","Middle Water","0.8","0.12","0.9","89","7","230","800","0.12","0.061","0.025","7.8","1.1","32.8","0.5","1.2","25","17.4","0.3","0.21","0.39","0.06","30.1","0.002","2.7"
"Deep Bay","DM5","2011-01-06","1","Bottom Water","0.7","0.12","1.9","90","7.1","520","1000","0.12","0.061","0.025","7.8","0.4","32.8","0.5","1.2","33","17.4","0.3","0.23","0.41","0.07","33.2","0.002","3.8"
"Deep Bay","DM5","2011-02-07","1","Surface Water","1.4","0.14","9.1","129","10.5","110","250","0.29","0.026","<0.002","8.1","3.3","30.4","1.1","0.07","3.5","16.4","0.46","0.38","0.7","0.04","11.7","0.004","1.2"
"Deep Bay","DM5","2011-02-07","1","Middle Water","1.5","0.14","9","129","10.5","180","220","0.27","0.025","0.004","8.1","4.4","31.1","1.1","0.07","4.8","16.2","0.44","0.44","0.74","0.03","14.3","0.004","1.3"
"Deep Bay","DM5","2011-02-07","1","Bottom Water","1.6","0.12","7.3","129","10.5","130","260","0.24","0.022","0.004","8.1","4","31.2","1.1","<0.05","8.2","16.2","0.38","0.43","0.69","0.03","16.4","0.003","1.7"
"Deep Bay","DM5","2011-03-09","1","Surface Water","0.2","0.28","0.9","81","6.5","600","950","0.41","0.044","0.029","7.6","<0.2","29.3","2","1.1","4","17.6","0.73","0.46","0.91","0.05","4.1","0.003","0.6"
"Deep Bay","DM5","2011-03-09","1","Middle Water","<0.1","0.27","0.9","85","6.8","600","890","0.4","0.041","0.027","7.6","<0.2","29.6","2","1.1","4.6","17.6","0.71","0.42","0.86","0.05","4.6","0.003","0.8"
"Deep Bay","DM5","2011-03-09","1","Bottom Water","<0.1","0.24","0.8","86","6.8","680","1200","0.39","0.039","0.026","7.6","<0.2","29.8","2","1.1","5.2","17.6","0.67","0.42","0.85","0.05","5","0.003","0.8"
"Deep Bay","DM5","2011-04-21","1","Surface Water","2.3","0.28","4.8","93","6.7","5","12","0.44","0.081","0.02","7.8","0.9","27.1","1.3","0.78","5.8","23.7","0.8","0.44","0.96","0.05","4.8","0.008","1.7"
"Deep Bay","DM5","2011-04-21","1","Middle Water","2.4","0.23","3","90","6.5","100","170","0.34","0.058","0.016","7.8","2.1","28.3","1.3","0.51","15","23.2","0.63","0.49","0.89","0.05","5","0.006","5.7"
"Deep Bay","DM5","2011-04-21","1","Bottom Water","1.6","0.23","4.9","91","6.6","180","230","0.33","0.057","0.016","7.8","1","28.6","1.3","0.49","6.3","23.1","0.62","0.44","0.83","0.05","5","0.006","1.7"
"Deep Bay","DM5","2011-05-06","1","Surface Water","1.7","0.28","2","83","5.8","58","80","0.69","0.12","0.03","7.6","0.9","24.6","1","2.1","4.8","26.5","1.09","0.43","1.24","0.05","4.9","0.006","1.5"
"Deep Bay","DM5","2011-05-06","1","Middle Water","1.3","0.27","1.9","70","5","840","1100","0.6","0.11","0.034","7.6","1","26.1","1","1.9","24","24.9","0.98","0.43","1.14","0.08","13","0.005","2.6"
"Deep Bay","DM5","2011-05-06","1","Bottom Water","1.4","0.3","0.7","69","4.9","880","1900","0.58","0.1","0.033","7.6","2.4","26.4","1","1.9","41","24.8","0.98","0.38","1.06","0.07","28.8","0.006","4.6"
"Deep Bay","DM5","2011-06-03","1","Surface Water","1.2","0.22","1.5","68","4.7","16","30","0.59","0.06","0.028","8","0.6","24.6","1.4","2.1","2.1","27.7","0.87","0.33","0.98","0.05","7.8","0.011","0.7"
"Deep Bay","DM5","2011-06-03","1","Middle Water","0.6","0.23","1.3","71","4.9","55","130","0.57","0.059","0.029","8","0.4","25.6","1.4","2","2","27.5","0.86","0.34","0.97","0.05","8","0.011","0.7"
"Deep Bay","DM5","2011-06-03","1","Bottom Water","0.3","0.19","0.9","68","4.6","50","95","0.48","0.052","0.029","8","1.3","26.4","1.4","1.6","6.7","27.5","0.72","0.38","0.91","0.07","11","0.009","1.5"
"Deep Bay","DM5","2011-07-04","1","Surface Water","1","0.006","2.5","90","6.5","41","98","1.8","0.36","0.044","7.7","<0.2","9.1","1","4.6","4.9","30.4","2.17","0.22","2.38","0.07","13.2","0.001","1.2"
"Deep Bay","DM5","2011-07-04","1","Middle Water","1.4","<0.005","2.5","79","5.6","190","450","1.6","0.36","0.048","7.6","<0.2","12.6","1","4.5","6.7","29.3","1.97","0.24","2.2","0.1","13.3","0.001","1.1"
"Deep Bay","DM5","2011-07-04","1","Bottom Water","1.3","<0.005","2.3","68","4.8","90","210","1.6","0.35","0.045","7.6","0.3","16.2","1","4.4","7.4","28.6","1.96","0.41","2.36","0.1","11.6","0.001","1.4"
"Deep Bay","DM5","2011-08-01","1","Surface Water","0.5","0.14","1.8","72","4.9","23","72","0.54","0.13","0.035","7.8","0.7","23.8","1.2","3.3","4.6","28.7","0.81","0.32","0.99","0.07","9.7","0.005","1"
"Deep Bay","DM5","2011-08-01","1","Middle Water","0.6","0.14","1.9","67","4.6","270","530","0.47","0.11","0.036","7.8","1.1","24.7","1.2","3.1","4.6","27.4","0.72","0.37","0.95","0.07","9.5","0.005","1.1"
"Deep Bay","DM5","2011-08-01","1","Bottom Water","0.7","0.14","2.1","64","4.4","430","2600","0.47","0.11","0.036","7.8","0.6","25.2","1.2","2.8","7.1","27.2","0.72","0.33","0.91","0.07","10","0.005","1.2"
"Deep Bay","DM5","2011-09-01","1","Surface Water","0.7","0.14","2.7","65","4.3","270","860","0.37","0.13","0.038","7.8","0.8","27.5","0.9","1.9","9.8","28.6","0.64","0.3","0.8","0.06","6.2","0.005","2.1"
"Deep Bay","DM5","2011-09-01","1","Middle Water","0.5","0.14","2.2","63","4.2","410","990","0.35","0.12","0.037","7.8","0.9","27.8","0.9","1.8","8.7","28.5","0.61","0.29","0.76","0.05","7.3","0.005","1.6"
"Deep Bay","DM5","2011-09-01","1","Bottom Water","0.4","0.14","2.5","60","4","470","1400","0.34","0.12","0.037","7.8","1.4","27.9","0.9","1.8","13","28.4","0.6","0.26","0.72","0.05","8.6","0.005","1.5"
"Deep Bay","DM5","2011-10-17","1","Surface Water","0.3","0.077","2","82","5.6","240","380","1.7","0.29","0.051","7.9","0.7","27","1.6","2.4","4.6","26.7","2.07","0.26","2.25","0.08","3.5","0.003","1"
"Deep Bay","DM5","2011-10-17","1","Middle Water","0.4","0.041","1.8","83","5.7","1900","4700","0.32","0.18","0.039","8","0.7","30","1.6","1.9","11","26.5","0.54","0.16","0.66","0.06","4","0.002","1.5"
"Deep Bay","DM5","2011-10-17","1","Bottom Water","0.4","0.052","2.4","81","5.5","1700","3100","0.58","0.25","0.047","8","0.6","30.5","1.6","2.2","15","26.4","0.88","0.19","1.02","0.06","13.2","0.002","2.2"
"Deep Bay","DM5","2011-11-11","1","Surface Water","0.7","0.16","0.5","86","6","690","1300","0.15","0.051","0.031","7.8","<0.2","31.8","1.3","0.81","6.2","24.7","0.36","0.28","0.48","0.04","4.2","0.005","1.1"
"Deep Bay","DM5","2011-11-11","1","Middle Water","0.5","0.15","0.7","86","6","520","1100","0.15","0.049","0.031","7.8","<0.2","32","1.3","0.81","6.2","24.8","0.35","0.28","0.48","0.05","4.4","0.004","1.3"
"Deep Bay","DM5","2011-11-11","1","Bottom Water","0.3","0.14","0.9","86","5.9","900","1800","0.13","0.046","0.029","7.8","0.6","32.1","1.3","0.79","7.4","24.8","0.32","0.27","0.45","0.04","5.2","0.004","1.2"
"Deep Bay","DM5","2011-12-10","1","Surface Water","0.7","0.081","0.9","89","6.6","210","330","0.18","0.026","0.026","7.7","0.2","32.2","1.5","1.2","12","20.5","0.29","0.22","0.43","0.04","7.4","0.001","1.5"
"Deep Bay","DM5","2011-12-10","1","Middle Water","0.5","0.082","1","91","6.8","210","290","0.18","0.027","0.027","7.7","<0.2","32.2","1.5","1.2","14","20.5","0.29","0.27","0.48","0.04","7.9","0.001","1.8"
"Deep Bay","DM5","2011-12-10","1","Bottom Water","0.8","0.083","1.3","91","6.8","60","100","0.19","0.024","0.026","7.7","<0.2","32.2","1.5","1.2","13","20.5","0.3","0.26","0.47","0.04","8","0.001","1.6"
"Eastern Buffer","EM1","2011-01-03","1","Surface Water","0.6","0.038","0.9","87","6.7","500","780","0.076","0.039","0.017","7.8","0.4","33","2","0.94","3.9","18","0.15","0.1","0.22","0.03","3.6","0.001","0.8"
"Eastern Buffer","EM1","2011-01-03","1","Middle Water","0.4","0.043","0.9","87","6.8","430","740","0.075","0.04","0.017","7.8","<0.2","33","2","0.96","4.1","18","0.16","0.11","0.23","0.03","3.7","0.001","1"
"Eastern Buffer","EM1","2011-01-03","1","Bottom Water","0.5","0.029","0.7","89","6.9","280","470","0.068","0.04","0.014","7.8","0.6","33.1","2","0.93","7.2","18.1","0.14","0.1","0.21","0.02","7.6","0.001","1.4"
"Eastern Buffer","EM1","2011-02-10","1","Surface Water","1","0.029","1.2","98","8","2","4","0.21","0.01","0.018","7.8","1.4","31.8","2.9","1.1","1.4","15.7","0.25","0.12","0.34","0.03","0.9","0.001","0.7"
"Eastern Buffer","EM1","2011-02-10","1","Middle Water","1.2","0.031","1.3","99","8.1","3","3","0.2","0.01","0.018","7.8","1.2","31.8","2.9","1.2","1.2","15.4","0.24","0.11","0.32","0.03","1.7","0.001","0.5"
"Eastern Buffer","EM1","2011-02-10","1","Bottom Water","1.1","0.03","0.9","95","7.9","6","10","0.21","0.008","0.019","7.8","1.1","31.8","2.9","1.2","3","15.2","0.25","0.09","0.31","0.03","2.2","0.001","0.7"
"Eastern Buffer","EM1","2011-03-17","1","Surface Water","1","0.09","4.3","97","7.5","22","30","0.046","0.005","0.007","7.9","0.4","33.2","2.5","0.29","1.7","18.2","0.14","0.15","0.2","0.02","1.3","0.002","0.6"
"Eastern Buffer","EM1","2011-03-17","1","Middle Water","0.9","0.087","4.2","96","7.4","39","62","0.045","0.005","0.006","7.9","0.4","33.2","2.5","0.3","2.5","18.2","0.14","0.19","0.24","0.03","1.4","0.002","0.9"
"Eastern Buffer","EM1","2011-03-17","1","Bottom Water","1.1","0.097","4","94","7.3","150","220","0.052","0.005","0.007","7.9","0.5","33.3","2.5","0.32","2","18.2","0.15","0.13","0.19","0.02","1.4","0.002","0.8"
"Eastern Buffer","EM1","2011-04-12","1","Surface Water","0.7","0.081","1.8","98","7.2","<1","<1","0.018","0.002","0.007","7.9","1.1","33.9","4","0.19","1.6","20.6","0.1","0.12","0.14","<0.02","0.8","0.002","0.5"
"Eastern Buffer","EM1","2011-04-12","1","Middle Water","0.8","0.082","0.8","98","7.2","2","4","0.018","0.004","0.007","7.9","1.8","33.9","4","0.18","1.3","20.6","0.1","0.13","0.15","<0.02","1.3","0.002","0.5"
"Eastern Buffer","EM1","2011-04-12","1","Bottom Water","0.6","0.084","1.5","96","7.1","<1","<1","0.018","0.004","0.007","7.9","0.9","33.9","4","0.21","1.6","20.5","0.11","0.14","0.16","<0.02","2.1","0.002","0.7"
"Eastern Buffer","EM1","2011-05-12","1","Surface Water","1.8","0.2","5.9","88","6","120","520","0.22","0.037","0.026","7.7","1.6","31.1","3.5","0.62","1.7","25.7","0.46","0.41","0.67","0.05","1.2","0.004","1.4"
"Eastern Buffer","EM1","2011-05-12","1","Middle Water","1.2","0.14","3.8","76","5.3","170","410","0.13","0.026","0.017","7.7","1.4","33.3","3.5","0.5","2.4","23.5","0.3","0.25","0.41","0.03","2.4","0.003","0.9"
"Eastern Buffer","EM1","2011-05-12","1","Bottom Water","0.8","0.058","1.1","72","5.1","7","35","0.026","0.017","0.009","7.7","0.4","34.1","3.5","0.5","3.8","22.5","0.1","0.12","0.16","0.02","5.4","0.001","0.7"
"Eastern Buffer","EM1","2011-06-15","1","Surface Water","1","0.18","3.8","60","4","1700","4300","0.28","0.05","0.022","7.8","1.4","29.7","2","1.2","6.2","26.9","0.51","0.36","0.69","0.05","4.9","0.006","1.1"
"Eastern Buffer","EM1","2011-06-15","1","Middle Water","0.7","0.11","1","55","3.8","2400","5600","0.12","0.037","0.019","7.8","1.1","32.4","2","1","7.1","24.6","0.27","0.24","0.4","0.05","4.8","0.003","1.2"
