"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2010-01-15","1","Surface Water","3.2","5.6","1.1","51","4.5","24000","31000","0.36","0.27","0.39","7.2","3.2","21.3","0.5","6.1","24","15.6","6.23","6","6.63","0.5","24.4","0.021","3.4"
"Deep Bay","DM1","2010-02-06","1","Surface Water","4.7","4.4","1.4","72","5.9","2000","2100","0.72","0.5","0.41","7.5","3.9","19.5","0.2","7","27","19.6","5.62","4.7","5.92","0.46","47.5","0.043","2.9"
"Deep Bay","DM1","2010-03-05","1","Surface Water","7","2.3","1.5","65","4.8","580","880","0.8","0.39","0.34","7.4","8.7","22.1","0.1","5.6","130","24.4","3.49","2.6","3.79","0.42","115.2","0.028","16"
"Deep Bay","DM1","2010-04-15","1","Surface Water","3.4","2.8","1.5","68","5.2","2800","4700","0.66","0.36","0.41","7.2","3.7","22.1","0.2","5.3","26","21.8","3.82","3.1","4.12","0.51","24.8","0.017","4.5"
"Deep Bay","DM1","2010-05-19","1","Surface Water","2.2","1.1","3.6","60","4.3","210","460","0.91","0.34","0.24","7.3","6.1","14.3","2","5","33","28.1","2.35","1.5","2.75","0.33","30.9","0.014","5.4"
"Deep Bay","DM1","2010-06-14","1","Surface Water","2.1","2","3.1","59","4.3","560","1200","0.68","0.28","0.35","7.1","2.9","11.1","0.8","7.9","24","29.1","2.96","2.4","3.36","0.41","25.5","0.019","4.1"
"Deep Bay","DM1","2010-07-15","1","Surface Water","1.5","0.58","4.1","61","4.3","100","330","0.84","0.32","0.19","7.5","5","10.7","0.6","6.1","19","30.5","1.74","0.83","1.99","0.22","25.8","0.015","3.2"
"Deep Bay","DM1","2010-08-11","1","Surface Water","1.7","1.3","12","37","2.5","220","810","0.45","0.21","0.19","7.3","4.5","17.2","0.2","4.3","18","31","1.96","1.6","2.26","0.24","22","0.023","3.4"
"Deep Bay","DM1","2010-09-09","1","Surface Water","1.7","3.5","9.3","39","2.7","3800","10000","0.34","0.36","0.29","7.2","5.3","11.5","0.2","10","16","30.9","4.2","4.2","4.9","0.36","23.2","0.052","3.3"
"Deep Bay","DM1","2010-10-06","1","Surface Water","20","2.6","2.7","46","3.5","4900","10000","0.5","0.37","0.26","7.2","2","16.8","0.2","8.3","14","25.3","3.47","3.3","4.17","0.31","21","0.023","2.6"
"Deep Bay","DM1","2010-11-08","1","Surface Water","2.5","2.8","3.7","67","5.2","2700","4400","0.71","0.46","0.23","7.3","6.3","20.8","0.5","4.1","56","22","3.97","3.2","4.37","0.37","58.3","0.023","6.7"
"Deep Bay","DM1","2010-12-06","1","Surface Water","2.5","5","11","40","3.1","3500","6900","0.56","0.32","0.31","7.1","4.9","18.4","0.5","6.4","24","22.8","5.88","5.5","6.38","0.42","29","0.028","4.4"
"Deep Bay","DM2","2010-01-15","1","Surface Water","2.9","4","1.8","72","6.1","5500","7000","0.41","0.32","0.3","7.5","2.8","24.1","0.5","4.9","25","16.2","4.73","4.2","4.93","0.37","25.2","0.03","3.4"
"Deep Bay","DM2","2010-02-06","1","Surface Water","6.6","4.2","1","73","6","980","1100","0.71","0.49","0.37","7.5","5.3","19.4","0.4","6.8","61","19.4","5.4","4.5","5.7","0.45","57.3","0.041","6.9"
"Deep Bay","DM2","2010-03-05","1","Surface Water","4.3","1.7","2.2","75","5.5","160","230","0.81","0.35","0.28","7.6","4","23","0.1","4.6","53","24.4","2.86","2","3.16","0.38","62.4","0.029","6.6"
"Deep Bay","DM2","2010-04-15","1","Surface Water","1.4","0.91","1.7","81","6","90","140","0.74","0.22","0.18","7.4","1.7","25.7","0.6","2.9","8.2","22.4","1.87","1.2","2.16","0.22","13","0.01","1.8"
"Deep Bay","DM2","2010-05-19","1","Surface Water","2.7","0.42","18","95","6.9","68","130","1.2","0.34","0.1","7.7","6.4","14.3","3","4.1","18","27.9","1.96","0.84","2.38","0.17","21.5","0.014","4"
"Deep Bay","DM2","2010-06-14","1","Surface Water","1.7","1","1.7","55","4","230","750","0.82","0.24","0.24","7.3","1.7","13.5","0.5","6.5","20","28.8","2.06","1.4","2.46","0.29","28.8","0.014","3.2"
"Deep Bay","DM2","2010-07-15","1","Surface Water","1.9","0.66","5","62","4.4","46","160","0.81","0.45","0.21","7.6","5.2","12","0.3","5.9","18","30.3","1.92","0.96","2.22","0.23","24.6","0.019","3.6"
"Deep Bay","DM2","2010-08-11","1","Surface Water","1.7","0.91","13","51","3.5","65","170","0.52","0.22","0.18","7.5","4.4","17.8","0.3","3.7","16","30.8","1.65","1.4","2.14","0.27","22","0.024","3"
"Deep Bay","DM2","2010-09-09","1","Surface Water","2.3","2","11","61","4.2","15000","38000","0.51","0.5","0.26","7.4","4.1","14.4","0.3","8","15","31.1","3.01","2.5","3.51","0.3","20.8","0.041","3.6"
"Deep Bay","DM2","2010-10-06","1","Surface Water","21","2.3","3","55","4.1","2700","6000","0.47","0.34","0.24","7.3","1.3","20.2","0.4","7.7","7.5","25.2","3.11","2.9","3.71","0.28","17.6","0.025","1.8"
"Deep Bay","DM2","2010-11-08","1","Surface Water","1.8","2.1","8.3","66","5","610","1300","0.63","0.4","0.2","7.5","3.8","22.8","0.6","2.5","23","22.1","3.13","2.4","3.43","0.27","29.4","0.027","3.3"
"Deep Bay","DM2","2010-12-06","1","Surface Water","1.8","3","5.9","47","3.6","1500","2700","0.61","0.31","0.27","7.3","3.7","20.5","0.5","4.7","21","22.7","3.92","3.6","4.52","0.34","28.6","0.023","3.6"
"Deep Bay","DM3","2010-01-15","1","Surface Water","2.1","1.4","0.9","84","6.9","130","180","0.41","0.2","0.14","7.6","1.4","27.8","0.8","2.7","19","16.6","2.01","1.6","2.21","0.19","14","0.014","2.4"
"Deep Bay","DM3","2010-02-06","1","Surface Water","1.1","0.7","2","86","6.8","1","3","0.9","0.25","0.11","7.6","0.9","24.2","0.4","3.3","15","19.5","1.85","0.81","1.96","0.13","17.6","0.009","1.9"
"Deep Bay","DM3","2010-03-05","1","Surface Water","0.9","0.32","2.5","86","6.5","15","47","0.76","0.16","0.045","7.9","1.6","25.8","0.5","2.3","12","21.9","1.24","0.49","1.41","0.07","20.9","0.009","2.2"
"Deep Bay","DM3","2010-04-15","1","Surface Water","1.2","0.48","3.1","87","6.5","8","16","0.76","0.16","0.08","7.6","1.4","26.2","0.7","2.5","11","22.5","1.4","0.74","1.66","0.12","14.6","0.007","2.2"
