"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1998-01-12","1","Surface Water","2.5","6.9","1.4","51","4","6300","7800","0.32","0.2","0.67","7.5","2.8","20.9","0.3","6.6","90","20.4","7.42","10","10.52","0.93","31.6","0.068","10"
"Deep Bay","DM1","1998-02-11","1","Surface Water","1.8","3.7","1.9","84","6.9","18000","24000","0.47","0.18","0.43","6.5","2.4","25.8","0.5","3.9","23","16.9","4.35","4.1","4.75","0.54","12.7","0.01","3.4"
"Deep Bay","DM1","1998-03-16","1","Surface Water","2.9","3.1","1.1","60","4.6","2500","2900","0.63","0.22","0.26","7","2.8","18.1","0.5","5.6","82","22.6","3.95","3.8","4.65","0.52","21.4","0.013","7.5"
"Deep Bay","DM1","1998-04-15","1","Surface Water","5.2","3.4","0.7","33","2.5","1100","1600","0.38","0.16","0.5","6.3","13","16","0.3","4.6","130","25","3.94","4.5","5.04","0.88","70.6","0.004","13"
"Deep Bay","DM1","1998-05-13","1","Surface Water","1.6","2.1","1.2","39","2.8","410","700","0.6","0.18","0.34","6.6","1.9","12","0.3","6.7","29","29.4","2.88","2.8","3.58","0.56","21.5","0.007","3.3"
"Deep Bay","DM1","1998-06-12","1","Surface Water","1.7","2","0.4","42","3.2","8000","17000","0.59","0.13","0.24","6.6","1.6","7.8","0.5","7.4","44","27.3","2.72","2.5","3.22","0.38","23.3","0.005","4.7"
"Deep Bay","DM1","1998-07-13","1","Surface Water","2.2","2.3","2.6","46","3.4","830","1000","0.62","0.26","0.32","7.4","2.9","4.7","0.5","8.2","64","29.5","3.18","3","3.88","0.55","26.9","0.045","8"
"Deep Bay","DM1","1998-08-26","1","Surface Water","1.5","3.2","2","68","4.7","1800","3800","0.52","0.37","0.4","7.7","7.6","11.2","0.4","7.5","67","31.5","4.09","3.9","4.79","0.66","9.4","0.125","6.8"
"Deep Bay","DM1","1998-09-09","1","Surface Water","6.5","2.4","0.2","26","1.8","2400","5100","0.38","0.26","0.25","7.2","17","17.6","0.5","4.4","420","29.8","3.04","3.6","4.24","1.2","143.2","0.033","40"
"Deep Bay","DM1","1998-10-07","1","Surface Water","3.4","2.2","1.9","40","2.7","440","650","0.39","0.26","0.35","6.2","4.3","25.2","0.5","3.1","27","27.2","2.85","3.2","3.85","0.48","34.6","0.012","3.4"
"Deep Bay","DM1","1998-11-20","1","Surface Water","6.2","5.4","1.8","50","3.8","640","740","0.5","0.27","0.56","6.4","5.6","20.1","0.5","8.5","92","22.8","6.17","6.2","6.97","0.94","64.9","0.023","8.4"
"Deep Bay","DM1","1998-12-03","1","Surface Water","5.7","4.4","1.6","57","4.4","4500","5800","0.58","0.26","0.49","7.6","5","21.8","0.4","5.9","120","22.2","5.24","5","5.84","0.77","43.7","0.069","10"
"Deep Bay","DM2","1998-01-12","1","Surface Water","1.5","4.3","1.2","66","5.2","850","910","0.38","0.25","0.49","7.7","2.2","24.2","0.5","5.3","27","20.3","4.93","4.9","5.53","0.65","17.1","0.068","3.5"
"Deep Bay","DM2","1998-02-11","1","Surface Water","1.4","2.4","0.4","88","7.3","2900","3100","0.5","0.16","0.29","6.9","1.2","28","3","3.1","26","16.6","3.06","2.9","3.56","0.4","14.2","0.006","2.7"
"Deep Bay","DM2","1998-03-16","1","Surface Water","2.4","3.3","0.2","68","5.2","1500","1500","0.58","0.17","0.37","6.9","1.9","20.4","0.5","5.8","26","22.9","4.05","4.1","4.85","0.44","19.5","0.014","3"
"Deep Bay","DM2","1998-04-15","1","Surface Water","2.3","2.6","1.9","46","3.5","3000","3800","0.38","0.17","0.46","6.9","2.1","16.9","0.3","4.3","46","24.8","3.15","3.4","3.95","0.58","22.5","0.01","5.1"
"Deep Bay","DM2","1998-05-13","1","Surface Water","1","2.1","9.9","36","2.6","1100","2100","0.58","0.19","0.38","7.1","<0.2","12.2","0.3","6.5","20","29","2.87","2.9","3.67","0.48","15.3","0.019","2.3"
"Deep Bay","DM2","1998-06-12","1","Surface Water","1.2","1.6","0.2","59","4.4","7100","12000","0.72","0.14","0.21","6.6","0.8","8.9","0.5","7","21","27.2","2.46","2.1","2.96","0.28","13.5","0.004","2.4"
"Deep Bay","DM2","1998-07-13","1","Surface Water","1.4","2.3","1.2","49","3.6","310","400","0.61","0.26","0.31","7.5","2.7","5.5","0.5","8.8","22","29.6","3.17","2.8","3.67","0.39","15.9","0.051","3.2"
"Deep Bay","DM2","1998-08-26","1","Surface Water","1.5","2","3.2","67","4.6","140","340","0.6","0.28","0.29","7.6","1.8","14.2","0.5","5.8","15","31.5","2.88","2.4","3.28","0.34","9.7","0.075","1.9"
"Deep Bay","DM2","1998-09-09","1","Surface Water","2.2","1.8","1.3","41","2.8","21000","36000","0.38","0.21","0.22","6.5","2.3","18.7","0.5","3.5","24","29.8","2.39","2.5","3.09","0.32","18.8","0.012","2.7"
"Deep Bay","DM2","1998-10-07","1","Surface Water","2.1","1.3","1.3","58","4","120","140","0.28","0.17","0.24","6.9","0.7","27.1","0.7","2.1","16","27.3","1.75","2.1","2.55","0.29","15.1","0.007","2.2"
"Deep Bay","DM2","1998-11-20","1","Surface Water","3.3","3","2","71","5.2","630","710","0.48","0.46","0.42","7.1","3.4","24.1","0.5","6.4","55","23.2","3.94","3.8","4.74","0.53","34.7","0.015","4.9"
"Deep Bay","DM2","1998-12-03","1","Surface Water","3.9","2.4","0.4","74","5.5","530","690","0.58","0.24","0.34","7.6","2.6","25.1","0.3","4.4","55","22.8","3.22","3","3.82","0.47","52.5","0.037","5"
"Deep Bay","DM3","1998-01-12","1","Surface Water","0.7","0.39","5.5","82","6.3","21","27","0.41","0.079","0.058","8.1","<0.2","26.2","1.2","3.1","8.2","20.8","0.88","1.1","1.59","0.11","7.6","0.017","1.4"
"Deep Bay","DM3","1998-02-11","1","Surface Water","1.5","2","0.6","95","7.8","490","540","0.5","0.14","0.24","7.2","1","28.7","0.7","2.3","15","16.6","2.64","2.5","3.14","0.32","9","0.008","1.9"
