"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1997-01-08","1","Surface Water","8.7","3.6","140","165","14.3","55000","72000","0.62","0.2","0.44","8.3","32","21.7","0.4","1.4","45","16","4.42","4.7","5.52","0.83","10","0.155","12"
"Deep Bay","DM1","1997-02-13","1","Surface Water","3.4","3.1","0.6","81","7.1","14000","23000","0.4","0.16","0.36","7.4","7.9","23.2","0.2","3.8","130","15.1","3.66","3.8","4.36","0.6","55.6","0.016","13"
"Deep Bay","DM1","1997-03-13","1","Surface Water","5.8","5.3","1","32","2.4","670","710","0.74","0.22","0.76","7.1","4.7","22","0.2","7.1","240","23.6","6.26","5.5","6.46","1.3","141.1","0.03","22"
"Deep Bay","DM1","1997-04-11","1","Surface Water","1.9","6.2","0.4","59","4.7","1500","1600","0.85","0.2","0.81","7.4","1.9","14.6","0.3","7.6","45","22.9","7.25","8.5","9.55","1.2","26.5","0.072","4.5"
"Deep Bay","DM1","1997-05-26","1","Surface Water","0.9","1.6","0.4","57","4.2","1100","1100","0.74","0.18","0.33","7.2","2.9","15.6","0.5","6.2","35","25.7","2.52","1.9","2.82","0.39","29.6","0.013","3.6"
"Deep Bay","DM1","1997-06-06","1","Surface Water","0.7","2.3","0.7","58","4.1","1800","2100","0.87","0.22","0.49","6.6","2.2","10.7","0.5","5.8","59","29.5","3.39","2.7","3.79","0.6","26.6","0.008","7.8"
"Deep Bay","DM1","1997-07-07","1","Surface Water","1.1","2","1.5","62","4.8","33000","54000","0.82","0.2","0.32","6.4","4","3.8","0.5","8.6","57","27.2","3.02","2.7","3.72","0.53","13.6","0.003","6.6"
"Deep Bay","DM1","1997-08-04","1","Surface Water","1.8","1.9","5.2","27","2.1","33000","65000","0.67","0.12","0.19","7","3.3","2.9","0.3","7.6","29","27.1","2.69","2.8","3.59","0.32","14.6","0.012","4.4"
"Deep Bay","DM1","1997-09-03","1","Surface Water","2.8","2.4","3.5","20","1.4","19000","25000","0.45","0.38","0.25","6.2","6.2","10.9","0.3","5.4","66","29.7","3.23","3.1","3.93","0.42","43.2","0.003","7.1"
"Deep Bay","DM1","1997-10-03","1","Surface Water","1.2","2.3","1","65","4.7","3200","4000","0.42","0.18","0.28","6.5","8","21.2","0.3","5.1","93","26.1","2.9","2.9","3.5","0.46","49.1","0.012","8.9"
"Deep Bay","DM1","1997-11-14","1","Surface Water","1.6","4.7","7.5","36","2.6","2200","2900","0.28","0.19","0.51","7.3","3.1","21","0.3","5.6","48","24.8","5.17","6.4","6.87","0.74","27.5","0.047","5"
"Deep Bay","DM1","1997-12-01","1","Surface Water","1.2","5.5","2.2","60","4.6","5900","7500","0.34","0.19","0.71","7","3.9","18.1","0.5","7.4","22","22.6","6.03","6.1","6.63","0.84","21.4","0.023","3"
"Deep Bay","DM2","1997-01-08","1","Surface Water","6.3","1.4","56","154","13","1000","1100","0.63","0.19","0.22","8.2","24","25.1","0.8","0.65","34","16.1","2.22","2.1","2.92","0.55","7.8","0.054","9"
"Deep Bay","DM2","1997-02-13","1","Surface Water","1.7","2.1","1.4","92","7.9","6300","9000","0.44","0.13","0.26","7.5","3.6","25.8","0.5","3.9","23","15.1","2.67","2.7","3.27","0.4","17.7","0.014","2.8"
