"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1989-01-13","1","Surface Water","3","4.8","1.9","56","5","24000","26000","0.22","0.16","0.97","7.6","6.5","22","N/A","6","23","14.6","5.18","6.2","6.58","1.4","208","0.047","25"
"Deep Bay","DM1","1989-02-17","1","Surface Water","5.5","3.2","3.2","82","6.6","1900","1900","0.47","0.21","0.75","8","5.9","26.4","0.7","4","14","17.5","3.88","3.7","4.38","0.87","14","0.085","3"
"Deep Bay","DM1","1989-03-14","1","Surface Water","4.3","3.7","9.3","53","4.3","3200","3500","0.45","0.25","0.81","7.7","5.3","18.3","0.8","4.9","150","19.2","4.4","4.8","5.5","0.97","360","0.055","17"
"Deep Bay","DM1","1989-04-14","1","Surface Water","1.5","3.3","2.5","72","6","9000","11000","0.76","0.2","0.74","7.8","0.5","19","N/A","6.7","13","22","4.26","3.9","4.86","0.83","18.5","0.087","2.5"
"Deep Bay","DM1","1989-05-12","1","Surface Water","1.2","0.6","6.1","79","5.5","100","100","1.2","0.11","0.28","7.8","5.6","15","0.3","5.6","8.5","29.2","1.91","1.4","2.71","0.34","20","0.027","2.5"
"Deep Bay","DM1","1989-06-12","1","Surface Water","6.2","4.3","24","39","3","52000","56000","0.21","0.11","1.2","7.8","14","8.7","0.2","9.3","61","25.8","4.62","5.9","6.22","1.6","65","0.171","6"
"Deep Bay","DM1","1989-07-20","1","Surface Water","1.7","0.81","2.5","67","4.8","1100","1100","0.42","0.15","0.31","8.3","1","16.8","N/A","5.3","20","27.8","1.38","1.3","1.87","0.35","22","0.092","3.5"
"Deep Bay","DM1","1989-08-18","1","Surface Water","3.9","1.8","20","68","4.8","1","300","0.33","0.21","0.53","8.3","4","15","0.5","4.5","23","30.5","2.34","2.5","3.04","0.69","20.5","0.251","6.5"
"Deep Bay","DM1","1989-09-18","1","Surface Water","1.3","1.2","0.5","35","2.5","5900","6500","0.14","0.11","0.4","8","2.1","21.6","0.2","2.9","38","26.4","1.45","2.6","2.85","0.55","36.5","0.059","6.5"
"Deep Bay","DM1","1989-10-16","1","Surface Water","1.2","1.5","4.6","66","4.5","700","800","0.42","0.26","0.49","8.1","2.2","26","0.5","4.2","38","26.1","2.18","1.8","2.48","0.53","39","0.085","7"
"Deep Bay","DM1","1989-11-13","1","Surface Water","1.1","2.1","13","99","7.4","800","900","0.47","0.3","0.44","8","2.8","23.5","0.4","5.8","40","23","2.87","2.5","3.27","0.54","44","0.077","6"
"Deep Bay","DM1","1989-12-11","1","Surface Water","5.4","3.8","17","83","6.4","1100","1200","0.33","0.19","0.75","8.1","1.9","26.9","0.5","4.3","29","18.7","4.32","6","6.52","1","30.5","0.126","5"
"Deep Bay","DM2","1989-01-13","1","Surface Water","3.3","2.8","1.1","68","5.7","2300","2300","0.31","0.17","0.58","7.8","2.7","25","N/A","4.5","94","15.7","3.28","3.5","3.98","0.7","75","0.045","9.5"
"Deep Bay","DM2","1989-02-17","1","Surface Water","1.4","1.5","1.2","91","7.6","190","190","0.47","0.17","0.45","8","1.6","28.1","1","3.3","6","16.7","2.14","1.7","2.34","0.48","8","0.036","1.5"
"Deep Bay","DM2","1989-03-14","1","Surface Water","1.6","1.6","1.7","80","6.4","160","190","0.49","0.16","0.33","7.9","0.8","27.4","1","3.1","36","18.2","2.25","2","2.65","0.44","52","0.039","5"
"Deep Bay","DM2","1989-04-14","1","Surface Water","0.5","1.6","0.9","80","6.6","400","400","0.88","0.16","0.37","7.9","0.7","20.5","N/A","5.1","1.5","22.2","2.64","2.1","3.14","0.43","10.5","0.053","0.5"
"Deep Bay","DM2","1989-05-12","1","Surface Water","0.7","0.25","6.3","98","6.9","1","1","0.98","0.067","0.14","8.1","2.7","14.4","0.5","4.9","4","29.1","1.3","0.83","1.88","0.16","11","0.021","3"
"Deep Bay","DM2","1989-06-12","1","Surface Water","1.5","1.3","3.7","69","5.2","300","310","0.43","0.15","0.39","7.8","4.7","12.7","0.2","5.8","45","25.9","1.88","1.7","2.28","0.48","71","0.052","5.5"
"Deep Bay","DM2","1989-07-20","1","Surface Water","1.5","0.97","1.5","66","4.7","1100","1100","0.44","0.15","0.31","8.3","1.7","16","N/A","5.4","9.5","27.4","1.56","1.6","2.19","0.38","17","0.108","2"
"Deep Bay","DM2","1989-08-18","1","Surface Water","2.3","0.53","7.7","69","4.7","1","1","0.28","0.12","0.28","8.3","1.5","16.7","0.2","3","20","30.7","0.93","0.91","1.31","0.34","24","0.081","4.5"
"Deep Bay","DM2","1989-09-18","1","Surface Water","0.7","0.78","<0.2","52","3.6","1000","1000","0.16","0.075","0.25","8.1","4.5","23.9","0.4","1.5","52","26.6","1.02","1.2","1.44","0.32","44.5","0.051","6"
"Deep Bay","DM2","1989-10-16","1","Surface Water","1.2","0.82","3","77","5.3","340","340","0.39","0.2","0.3","8.2","1.5","27.8","0.6","3.7","20","25.9","1.41","1.1","1.69","0.34","22","0.054","4"
"Deep Bay","DM2","1989-11-13","1","Surface Water","0.6","1.1","6.9","111","8.2","100","100","0.51","0.17","0.31","8.1","2.3","25.4","0.6","3.9","24","23","1.78","1.5","2.18","0.42","30","0.057","4"
"Deep Bay","DM2","1989-12-11","1","Surface Water","4.2","1.2","0.5","97","7.7","200","200","0.41","0.16","0.37","8.3","<0.2","28.7","0.5","2.9","9.5","18.6","1.77","2.7","3.27","0.57","22","0.067","2"
