"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2006-01-19","1","Surface Water","4.3","5.7","28","57","4.4","14000","18000","0.39","0.29","0.47","7.3","19","23.4","0.1","4","140","21.1","6.38","6.6","7.28","0.83","74.6","0.044","24"
"Deep Bay","DM1","2006-02-15","1","Surface Water","8.8","3.4","16","35","2.8","10000","11000","0.59","0.32","0.38","7.1","27","23.5","0.2","3.2","230","19.5","4.31","4","4.91","0.83","60","0.014","38"
"Deep Bay","DM1","2006-03-20","1","Surface Water","6.3","2.2","3.4","56","1.6","870","980","0.9","0.35","0.34","7.5","6.6","7.2","0.3","4.5","110","21","3.45","2.8","4.05","0.54","68.2","0.032","13"
"Deep Bay","DM1","2006-04-18","1","Surface Water","2.1","1.9","1.9","67","5.1","740","980","0.84","0.27","0.31","7.7","3.5","22.7","0.5","4.3","33","21.9","3.01","2.2","3.31","0.35","24.9","0.038","4.2"
"Deep Bay","DM1","2006-05-15","1","Surface Water","2.2","0.18","3.8","80","5.9","140","300","0.68","0.3","0.24","7.1","13","15.3","0.3","5","30","26.1","1.16","1.6","2.58","0.31","17.5","0.002","8.8"
"Deep Bay","DM1","2006-06-28","1","Surface Water","2.3","0.48","89","94","6.7","450","770","0.68","0.24","0.086","7.9","14","9.9","0.3","1.3","32","30.3","1.4","1.2","2.12","0.24","30.1","0.028","7.3"
"Deep Bay","DM1","2006-07-13","1","Surface Water","2.4","2.1","13","55","3.9","700","2200","0.65","0.27","0.39","7.8","16","8.2","0.2","3.7","17","30.8","3.02","2.5","3.42","0.47","24.9","0.11","3.8"
"Deep Bay","DM1","2006-08-10","1","Surface Water","2.6","3.4","10","45","3.3","8300","19000","0.23","0.17","0.32","7.6","4.2","5.5","0.2","10","12","29.6","3.8","3.9","4.3","0.43","16.2","0.107","3"
"Deep Bay","DM1","2006-09-08","1","Surface Water","2","3.4","6.9","19","1.4","12000","23000","0.44","0.25","0.29","7.1","5.6","10.6","0.2","6.9","16","29.5","4.09","4.1","4.79","0.37","20.1","0.032","2.7"
"Deep Bay","DM1","2006-10-09","1","Surface Water","2.1","3.3","10","52","3.7","750","1900","0.24","0.25","0.3","6.9","3.2","21.1","0.3","3.3","31","27.4","3.79","3.7","4.19","0.44","41.8","0.019","3.6"
"Deep Bay","DM1","2006-11-06","1","Surface Water","1.8","4.9","8","40","2.9","3400","4500","0.27","0.27","0.49","7.3","1.7","22.6","0.1","6","35","24.4","5.44","5.5","6.04","0.62","42.3","0.046","4.8"
"Deep Bay","DM1","2006-12-05","1","Surface Water","1.4","5.9","1.6","45","3.5","4500","7800","0.32","0.25","0.54","6.8","2.1","22.8","0.4","6.6","16","20.9","6.47","6.6","7.17","0.66","30","0.021","2.3"
"Deep Bay","DM2","2006-01-19","1","Surface Water","4.6","5.1","21","70","5.4","9000","11000","0.4","0.31","0.44","7.5","15","23.9","0.3","3.7","76","21.1","5.81","5.8","6.51","0.67","60.4","0.057","12"
"Deep Bay","DM2","2006-02-15","1","Surface Water","5.9","2.4","15","47","3.7","3600","4000","0.62","0.32","0.28","7.1","7.8","25.6","0.2","2.7","50","19.5","3.34","3","3.94","0.45","43.8","0.01","9.5"
"Deep Bay","DM2","2006-03-20","1","Surface Water","1.7","0.61","1.2","80","6.2","64","81","0.58","0.14","0.068","7.7","1.4","26.4","0.3","2.3","39","20.3","1.33","0.85","1.57","0.15","40.3","0.01","3.5"
"Deep Bay","DM2","2006-04-18","1","Surface Water","1.7","2","2.5","67","5.2","270","330","0.79","0.29","0.32","7.8","2.4","23","0.6","4.7","14","21.7","3.08","2.2","3.28","0.34","15.6","0.042","2.2"
"Deep Bay","DM2","2006-05-15","1","Surface Water","2.1","0.68","6.3","88","6.4","120","420","0.81","0.28","0.21","7","6","18","0.3","4","24","26","1.77","1.3","2.39","0.26","21.3","0.004","7.4"
"Deep Bay","DM2","2006-06-28","1","Surface Water","2.8","0.75","100","105","7.5","140","170","0.59","0.34","0.091","7.9","19","9.4","0.1","0.2","29","30.3","1.68","1.8","2.73","0.3","27.9","0.042","8.2"
"Deep Bay","DM2","2006-07-13","1","Surface Water","5","3.5","120","105","7.5","64000","130000","0.4","0.25","0.44","7.9","20","7.7","0.2","1","27","31","4.15","4.7","5.35","0.63","23.7","0.243","11"
"Deep Bay","DM2","2006-08-10","1","Surface Water","3.4","3.3","12","54","3.9","55000","180000","0.25","0.22","0.28","7.7","5.7","7.9","0.3","8.9","14","29.4","3.77","3.8","4.27","0.38","19.9","0.135","3.6"
"Deep Bay","DM2","2006-09-08","1","Surface Water","2.7","3.7","12","40","2.8","9700","13000","0.42","0.24","0.32","7.4","7","10.9","0.3","6.9","10","29.5","4.36","4.4","5.06","0.4","17.4","0.064","3.2"
"Deep Bay","DM2","2006-10-09","1","Surface Water","2.1","2.6","8.3","37","2.6","400","770","0.25","0.27","0.31","6.9","5.1","22.8","0.3","2.4","35","27.5","3.12","3.2","3.72","0.46","42.2","0.015","3.8"
"Deep Bay","DM2","2006-11-06","1","Surface Water","1.4","2.5","5.7","58","4.2","130","270","0.32","0.31","0.37","7.4","1.9","25.5","0.3","4.1","22","24.3","3.13","2.7","3.33","0.42","34.3","0.029","3.8"
"Deep Bay","DM2","2006-12-05","1","Surface Water","1.4","3.1","2","67","5.1","970","1400","0.36","0.27","0.38","6.9","1","25.6","0.6","4.7","7.4","20.9","3.73","3.4","4.03","0.45","25.9","0.011","1.6"
"Deep Bay","DM3","2006-01-19","1","Surface Water","1.6","1.1","2","83","6.4","30","36","0.52","0.23","0.12","7.6","0.6","28.1","0.7","2.2","34","19.9","1.85","1.3","2.05","0.19","35.2","0.014","4.7"
"Deep Bay","DM3","2006-02-15","1","Surface Water","2.1","0.64","2.1","76","5.9","44","65","0.55","0.17","0.11","7.2","1.8","28.2","0.3","1.8","30","19.5","1.36","0.91","1.63","0.16","23.8","0.003","5.6"
"Deep Bay","DM3","2006-03-20","1","Surface Water","3.7","1.3","3.4","83","6.4","210","240","0.79","0.24","0.21","7.7","5.2","27.7","0.3","3.6","38","19.8","2.33","1.5","2.53","0.34","39.2","0.02","4.9"
"Deep Bay","DM3","2006-04-18","1","Surface Water","0.5","0.47","1.7","77","5.7","80","130","0.61","0.12","0.066","8","<0.2","26","1","2.3","22","22.2","1.2","0.66","1.39","0.08","13.7","0.019","4"
"Deep Bay","DM3","2006-05-15","1","Surface Water","1.8","0.28","8.7","92","6.6","43","180","0.74","0.15","0.07","7","3.3","21.3","0.6","2.6","9.9","26.2","1.17","0.67","1.56","0.1","13.1","0.002","3.5"
"Deep Bay","DM3","2006-06-28","1","Surface Water","1.9","0.2","58","95","6.8","490","1200","0.71","0.18","0.015","7.9","9.2","12.9","0.1","2.5","12","29.2","1.09","0.67","1.56","0.08","16.5","0.011","3.8"
"Deep Bay","DM3","2006-07-13","1","Surface Water","1.4","0.39","13","82","5.8","200","690","1.1","0.16","0.11","7.8","2.3","11.5","0.1","5","4.6","30.1","1.65","0.7","1.96","0.14","14.3","0.019","2"
"Deep Bay","DM3","2006-08-10","1","Surface Water","1.8","0.74","3.4","59","4.3","180","350","0.65","0.25","0.1","7.7","1.9","10.4","0.3","7.6","3.8","28.4","1.64","1","1.9","0.13","13.2","0.025","1"
