"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1996-01-11","1","Surface Water","5.8","5.9","1.2","50","4.2","28000","37000","0.3","0.13","0.72","7.5","8.6","23.6","0.5","5.8","320","16.4","6.33","6.9","7.33","2.2","350","0.05","30"
"Deep Bay","DM1","1996-02-12","1","Surface Water","1.4","2.4","2.2","75","7.3","1500","2000","0.32","0.096","0.35","7.7","2.9","N/A","0.7","1.9","11","17.6","2.82","2.4","2.82","0.57","10","N/A","1.4"
"Deep Bay","DM1","1996-03-11","1","Surface Water","2.3","3.2","1.9","66","5.7","4300","4800","0.57","0.16","0.49","7.6","5.7","26.7","0.3","3.4","88","16.4","3.93","3.6","4.33","0.74","70","0.033","10"
"Deep Bay","DM1","1996-04-17","1","Surface Water","2.4","6.6","2","33","2.6","13000","13000","0.22","0.12","1.1","7.3","3","19.3","0.5","8.2","13","22.3","6.94","12","12.34","1.4","11.4","0.053","2.6"
"Deep Bay","DM1","1996-05-13","1","Surface Water","2.4","5.5","12","45","3.5","90000","95000","0.13","0.082","1","7.3","4","14","0.3","10","35","24.2","5.71","9.6","9.81","1.1","27.6","0.054","8"
"Deep Bay","DM1","1996-06-10","1","Surface Water","14.6","12","48","2","0.1","700000","890000","0.006","0.005","1.6","7.1","17","3.3","0.2","13","43","30.6","12.01","18","18.01","2.4","54.8","0.134","13"
"Deep Bay","DM1","1996-07-10","1","Surface Water","19.8","12","17","7","0.5","1100000","1300000","0.013","0.006","1.1","7.1","17","2","0.1","12","120","30","12.02","16","16.02","2.3","122","0.12","26"
"Deep Bay","DM1","1996-08-09","1","Surface Water","16.9","13","21","10","0.7","540000","620000","0.028","0.008","0.76","7","7","2","0.1","12","210","31.4","13.04","16","16.04","2","60.1","0.124","32"
"Deep Bay","DM1","1996-09-12","1","Surface Water","5.4","2.4","13","119","8.3","20000","23000","0.43","0.17","0.25","7.9","84","14.4","0.5","0.13","44","29.9","3","3.9","4.5","0.48","26.6","0.153","7.7"
"Deep Bay","DM1","1996-10-07","1","Surface Water","10.2","9.8","2.3","42","3","520000","630000","0.007","0.007","0.83","7.1","30","9.8","0.2","11","88","30.2","9.81","12","12.01","1.8","17.1","0.104","18"
