"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2003-01-20","1","Surface Water","6.1","4.3","7.7","48","4.1","24000","37000","0.38","0.33","0.34","7.7","10","20.6","0.2","3.1","43","17.6","5.01","5.7","6.41","0.59","45.1","0.065","7.9"
"Deep Bay","DM1","2003-02-21","1","Surface Water","6.7","3.7","1.4","65","5.2","800","1400","0.22","0.31","0.48","7.6","17","23.3","0.1","5","220","19.1","4.23","4.8","5.33","0.77","143","0.042","22"
"Deep Bay","DM1","2003-03-24","1","Surface Water","2.9","4.4","0.8","26","2.1","4300","5200","0.52","0.29","0.51","7.4","1.8","23.7","0.5","5.4","38","18.8","5.21","4.8","5.61","0.57","32.1","0.034","5"
"Deep Bay","DM1","2003-04-08","1","Surface Water","3.9","3.9","1.9","31","2.4","4000","5300","0.64","0.42","0.57","7.4","2","20.9","0.5","6.2","27","22","4.96","4.3","5.36","0.61","34.7","0.035","4.1"
"Deep Bay","DM1","2003-05-19","1","Surface Water","2","0.71","1.5","47","3.4","170","380","1.1","0.19","0.14","7.8","2.8","13.3","0.2","4.6","36","27.8","2","1","2.29","0.21","31.2","0.028","4"
"Deep Bay","DM1","2003-06-20","1","Surface Water","3.6","4.5","36","42","3","5800","9300","0.32","0.19","0.31","7.1","8.2","6.8","0.2","9.2","35","29.5","5.01","5.7","6.21","0.54","40.6","0.047","7.3"
"Deep Bay","DM1","2003-07-18","1","Surface Water","13","3.6","11","33","2.3","340","28000","0.67","0.73","0.37","7.4","25","7.1","0.5","4.7","130","31.8","5","5","6.4","0.65","74.6","0.079","17"
"Deep Bay","DM1","2003-08-14","1","Surface Water","2.8","2.1","2.6","33","2.2","810","1700","0.58","0.67","0.31","7.5","5.3","13.1","0.5","6.1","42","31.1","3.35","2.7","3.95","0.43","39.4","0.051","5.7"
"Deep Bay","DM1","2003-09-15","1","Surface Water","4","4.5","5","28","2.1","220000","420000","0.34","0.3","0.35","7.6","1.1","10","0.3","7.6","26","27.9","5.14","5.6","6.24","0.53","24.2","0.121","3.9"
"Deep Bay","DM1","2003-10-15","1","Surface Water","4.1","6.6","10","28","2.1","32000","43000","0.12","0.17","0.67","7.7","2.4","17.2","0.2","8.6","23","24.1","6.89","8.3","8.59","0.78","50.7","0.186","4.8"
"Deep Bay","DM1","2003-11-12","1","Surface Water","4.2","7.9","3.8","40","3.2","7300","10000","0.24","0.21","0.63","7.9","4.3","17.7","0.3","7.6","48","20.7","8.35","9.5","9.95","0.92","49","0.239","8.6"
"Deep Bay","DM1","2003-12-10","1","Surface Water","3.1","7.9","3.8","34","2.8","2200","2400","0.2","0.19","0.64","7.9","4.4","22.8","0.5","6.2","49","19","8.29","9.1","9.49","0.77","57.1","0.215","8.2"
"Deep Bay","DM2","2003-01-20","1","Surface Water","4.6","3.2","2.4","58","4.8","9700","13000","0.38","0.28","0.25","7.9","8.7","22.3","0.2","2.1","28","17.6","3.86","4.3","4.96","0.44","32.5","0.065","5.1"
"Deep Bay","DM2","2003-02-21","1","Surface Water","6.4","3.4","1.2","65","5.2","450","660","0.2","0.21","0.41","7.6","19","23.9","0.1","4.4","190","19.3","3.81","4.3","4.71","0.69","158.7","0.041","20"
"Deep Bay","DM2","2003-03-24","1","Surface Water","2.2","3.5","1","35","2.8","2700","3500","0.44","0.22","0.42","8.4","1.6","25.3","0.5","4.7","24","18.8","4.16","4","4.66","0.47","33.8","0.257","3.3"
"Deep Bay","DM2","2003-04-08","1","Surface Water","3","3.7","0.7","43","3.3","1300","1900","0.56","0.36","0.5","7.5","2","22.1","0.5","5.7","15","22","4.62","3.7","4.62","0.51","17.1","0.05","2.6"
"Deep Bay","DM2","2003-05-19","1","Surface Water","2","0.97","1.4","42","3.1","260","370","1.1","0.21","0.14","7.7","2.8","13.6","0.2","4.6","35","28","2.28","1.3","2.61","0.21","35","0.037","4.2"
"Deep Bay","DM2","2003-06-20","1","Surface Water","3.2","2.8","25","57","4.1","1900","4100","0.58","0.27","0.29","7.5","4.6","7.6","0.2","8.1","14","29.4","3.65","3.7","4.55","0.36","20.3","0.064","4.5"
"Deep Bay","DM2","2003-07-18","1","Surface Water","12","2.7","6.1","51","3.6","77","2500","0.7","0.67","0.31","7.6","9.2","8","0.5","4.8","42","31.6","4.07","3.6","4.97","0.44","34.4","0.099","6.9"
