"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1994-01-26","1","Surface Water","3","4.79","1.1","45","3.9","4000","4200","0.235","0.122","0.503","7.7","3.1","23.4","0.5","5.4","29","15.6","5.15","6.57","6.93","0.77","16.3","0.052","3.7"
"Deep Bay","DM1","1994-02-23","1","Surface Water","1.9","2.97","0.3","75","6.1","5300","5600","0.464","0.13","0.378","7.7","3.2","25.7","0.3","3.64","40","18.2","3.56","4.14","4.73","0.53","14.4","0.046","4.8"
"Deep Bay","DM1","1994-03-16","1","Surface Water","0.8","3.24","0.5","70","5.9","1500","1600","0.739","0.236","0.391","7.5","0.9","26.3","0.5","4.16","64","16.2","4.22","3.75","4.73","0.58","19.2","0.026","9.6"
"Deep Bay","DM1","1994-04-14","1","Surface Water","1.1","2.32","2.7","71","5.5","440","540","0.452","0.163","0.434","7.7","2.9","21.8","0.5","1.43","18","21.9","2.94","3.11","3.73","0.39","8.5","0.041","4.1"
"Deep Bay","DM1","1994-05-12","1","Surface Water","2.1","1.41","0.9","52","3.6","110","120","0.659","0.159","0.391","7.7","9.8","20.4","0.3","4.23","43","28.8","2.23","2.16","2.98","0.49","14","0.042","7.2"
"Deep Bay","DM1","1994-06-15","1","Surface Water","1.5","0.674","2.8","66","4.9","760","780","1.08","0.292","0.166","7.8","3.3","7.9","0.2","7.78","85","28.8","2.05","1.6","2.97","0.48","70.7","0.031","17"
"Deep Bay","DM1","1994-07-13","1","Surface Water","1","1.93","0.2","72","5.2","3900","5500","0.541","0.52","0.288","7.4","6.9","6.4","0.5","9.91","40","29.9","2.99","3.25","4.31","0.45","43","0.036","4.7"
"Deep Bay","DM1","1994-08-11","1","Surface Water","1.6","1.93","4.9","N/A","N/A","12000","17000","0.417","0.124","0.093","7","3.6","0.9","0.2","9.08","71","28","2.47","2.75","3.29","0.28","37","0.013","8.6"
"Deep Bay","DM1","1994-09-22","1","Surface Water","1.4","2.7","3.8","95","7.4","1400","1400","0.295","0.178","0.27","7.8","3","6.8","0.4","6.58","33","28.7","3.17","2.83","3.3","0.32","22.8","0.11","7.3"
"Deep Bay","DM1","1994-10-07","1","Surface Water","1.1","1.86","11","49","3.5","700","800","0.259","0.11","0.201","7.6","5.1","19.3","0.4","3.49","33","27.4","2.23","2.56","2.93","0.25","32","0.047","4"
"Deep Bay","DM1","1994-11-21","1","Surface Water","0.9","7.58","1.3","35","2.6","3300","5000","0.23","0.19","0.611","7.7","2.3","20.1","0.6","4.87","29","23.5","8","8.75","9.17","0.65","22","0.151","3.9"
"Deep Bay","DM1","1994-12-19","1","Surface Water","0.8","3.77","0.2","58","5.3","1500","1700","0.393","0.17","0.426","7.6","1.1","22.1","1","5.28","11","18.8","4.33","4.16","4.72","0.5","12","0.045","1.6"
"Deep Bay","DM2","1994-01-26","1","Surface Water","3.6","4.89","1.6","74","6.3","5200","6000","0.217","0.107","0.58","7.8","2.3","25.4","0.8","5.54","8.1","15.4","5.21","6.52","6.84","0.68","7.8","0.071","1.7"
"Deep Bay","DM2","1994-02-23","1","Surface Water","1.9","2.08","0.7","81","6.4","1800","2400","0.471","0.12","0.293","7.9","2.1","27.7","0.5","2.94","21","18.2","2.67","2.81","3.4","0.41","10.8","0.043","2.6"
"Deep Bay","DM2","1994-03-16","1","Surface Water","0.5","2.03","0.6","78","6.5","590","680","0.741","0.215","0.255","7.6","0.7","27.4","0.5","3.43","24","16.6","2.99","2.04","3","0.5","14.3","0.022","3"
"Deep Bay","DM2","1994-04-14","1","Surface Water","0.5","0.473","1.8","76","5.7","70","90","0.56","0.149","0.141","8","3.2","23.2","1","0.29","5","22.4","1.18","0.84","1.55","0.19","4.4","0.016","0.8"
"Deep Bay","DM2","1994-05-12","1","Surface Water","2.2","0.964","21","86","5.8","<10","<10","0.701","0.164","0.275","7.9","5","20.5","0.4","3.43","17","29.3","1.83","1.74","2.61","0.39","8.7","0.044","3.1"
"Deep Bay","DM2","1994-06-15","1","Surface Water","1.4","0.31","0.9","87","6.4","200","220","1.12","0.276","0.085","7.9","8.2","7.2","0.6","7.45","42","28.7","1.71","0.87","2.27","0.39","89.4","0.016","8.5"
"Deep Bay","DM2","1994-07-13","1","Surface Water","2.3","1.22","0.5","65","4.7","1300","1400","0.683","0.538","0.183","7.5","5.2","7.4","0.4","8.88","32","30","2.44","2.09","3.31","0.31","29.6","0.028","4.3"
"Deep Bay","DM2","1994-08-11","1","Surface Water","1.5","1.51","1.5","N/A","N/A","12000","12000","0.497","0.154","0.077","7","9.8","2","0.2","8.03","48","28","2.16","2.3","2.95","0.2","29","0.01","5.5"
"Deep Bay","DM2","1994-09-22","1","Surface Water","1.6","2.09","5.9","86","6.5","600","700","0.339","0.19","0.228","7.8","3.4","7.7","0.6","5.82","22","28.5","2.62","2.78","3.31","0.29","25.4","0.084","3"
"Deep Bay","DM2","1994-10-07","1","Surface Water","0.6","0.562","6.4","69","5","100","120","0.356","0.118","0.113","7.8","3.1","20.6","0.6","3","23","27.9","1.04","0.89","1.36","0.15","19","0.02","2.7"
"Deep Bay","DM2","1994-11-21","1","Surface Water","0.9","2.99","3.7","58","4.4","1000","1400","0.301","0.208","0.434","7.9","2","22.3","0.6","3.59","16","23.5","3.5","4.1","4.61","0.49","18","0.098","2.8"
"Deep Bay","DM2","1994-12-19","1","Surface Water","0.8","2.03","1.2","69","6.2","1500","1700","0.475","0.177","0.254","7.6","1.5","24","0.6","3.89","22","19.3","2.68","2.34","2.99","0.33","21","0.028","2.6"
"Deep Bay","DM3","1994-01-26","1","Surface Water","3.7","0.826","4.4","112","9.3","18","20","0.327","0.094","0.125","8.3","4.1","28.9","1","2.04","4.4","15.8","1.25","1.59","2.01","0.18","18.8","0.033","1.1"
"Deep Bay","DM3","1994-02-23","1","Surface Water","0.9","1.13","0.8","89","7.1","160","190","0.433","0.1","0.173","8","1.6","28.8","0.8","2.21","13","18.1","1.66","1.81","2.34","0.23","6.8","0.028","1.5"
"Deep Bay","DM3","1994-03-16","1","Surface Water","0.5","0.777","0.5","81","6.6","48","61","0.612","0.156","0.108","7.7","0.6","28.8","0.6","2.49","26","17","1.55","0.83","1.6","0.26","11.7","0.011","2.6"
"Deep Bay","DM3","1994-04-14","1","Surface Water","0.5","0.168","2.9","79","5.9","100","120","0.349","0.051","0.022","7.9","1.2","26.3","0.8","0.92","7.3","22.1","0.57","0.47","0.87","0.07","4.7","0.005","1.2"
"Deep Bay","DM3","1994-05-12","1","Surface Water","0.8","0.198","1.4","89","6.2","3","10","0.81","0.074","0.054","8.1","4.5","19.3","0.5","3.35","8.9","28.3","1.08","0.47","1.35","0.09","5.7","0.013","1.7"
"Deep Bay","DM3","1994-06-15","1","Surface Water","1.1","0.043","3","101","7.6","2000","2500","1.23","0.11","0.031","8.1","2.1","4.8","0.6","7.69","11","28.4","1.38","0.64","1.98","0.27","75.6","0.003","1.3"
"Deep Bay","DM3","1994-07-13","1","Surface Water","0.7","0.024","2.6","82","6","590","1000","0.975","0.113","0.029","7.8","0.6","7.8","0.5","8.19","5","29.4","1.11","0.55","1.64","0.06","13.8","0.001","1.1"
"Deep Bay","DM3","1994-08-11","1","Surface Water","0.5","0.198","0.7","N/A","N/A","300","700","0.754","0.142","0.047","7.6","1.5","4.9","0.3","7.95","15","28.8","1.09","0.63","1.53","0.08","12","0.005","1.6"
"Deep Bay","DM3","1994-09-22","1","Surface Water","0.9","0.136","2.7","81","6.2","120","140","0.518","0.155","0.051","7.8","0.4","10.5","1.2","4.63","12","28.5","0.81","0.45","1.12","0.08","18","0.006","1.9"
"Deep Bay","DM3","1994-10-07","1","Surface Water","0.7","0.054","1.8","70","4.9","31","45","0.474","0.107","0.038","7.9","2.1","19.6","0.6","3.47","15","28","0.64","0.23","0.81","0.06","14","0.003","2"
"Deep Bay","DM3","1994-11-21","1","Surface Water","0.3","0.145","0.4","93","6.6","180","210","0.312","0.099","0.041","8.1","<0.2","25.5","1.2","2.92","8.9","24.2","0.56","0.4","0.81","0.07","8.9","0.007","1.1"
"Deep Bay","DM3","1994-12-19","1","Surface Water","0.3","0.597","0.3","79","6.8","41","45","0.326","0.102","0.099","7.8","1.2","28.8","1","2.16","18","20.2","1.03","0.71","1.14","0.16","19","0.013","2"
"Deep Bay","DM4","1994-01-26","1","Surface Water","0.9","0.225","3","107","8.7","62","70","0.177","0.032","0.038","8.2","1.5","29.7","1","1.28","7.8","16.4","0.43","0.69","0.9","0.07","6.5","0.008","1.3"
"Deep Bay","DM4","1994-01-26","1","Bottom Water","0.7","0.247","2.9","100","8.2","60","90","0.163","0.031","0.044","8.2","1.4","30.3","1","1.17","9.8","16.3","0.44","0.73","0.92","0.08","6.6","0.009","1.5"
"Deep Bay","DM4","1994-02-23","1","Surface Water","0.6","0.506","1","116","8.9","10","10","0.23","0.044","0.08","8.1","0.8","31.2","1.2","1.4","4.1","18.7","0.78","0.97","1.24","0.12","3.3","0.019","0.6"
"Deep Bay","DM4","1994-02-23","1","Bottom Water","0.6","0.419","0.7","100","7.8","13","18","0.214","0.038","0.069","8.1","1.1","31","1.2","1.32","5.4","18.2","0.67","0.84","1.09","0.12","5.6","0.015","0.5"
"Deep Bay","DM4","1994-03-16","1","Surface Water","0.2","0.194","0.7","82","6.5","20","30","0.273","0.045","0.026","7.9","0.3","30.9","1.3","1.45","11","17.5","0.51","0.32","0.64","0.05","7","0.004","1.3"
"Deep Bay","DM4","1994-03-16","1","Bottom Water","0.2","0.24","0.3","82","6.4","900","900","0.244","0.043","0.032","7.9","0.6","31.5","1.3","1.3","27","17.5","0.53","0.23","0.52","0.07","11.3","0.005","2.5"
"Deep Bay","DM4","1994-04-14","1","Surface Water","0.5","0.12","1.8","85","6.3","110","160","0.281","0.037","0.02","8","1.4","28.2","1","0.87","4.4","22","0.44","0.44","0.76","0.08","3.8","0.004","0.7"
"Deep Bay","DM4","1994-04-14","1","Bottom Water","0.3","0.104","1.1","80","5.9","200","240","0.223","0.032","0.017","8","1.7","29.3","1","0.69","14","22.3","0.36","0.48","0.74","0.15","4.7","0.003","1.8"
"Deep Bay","DM4","1994-05-12","1","Surface Water","0.8","0.117","2.1","92","6.4","20","20","0.777","0.058","0.026","8.1","2.9","19.5","1","3.27","6.3","28.3","0.95","0.37","1.21","0.07","4.8","0.008","1.3"
"Deep Bay","DM4","1994-05-12","1","Bottom Water","0.5","0.158","0.6","77","5.4","40","40","0.745","0.063","0.039","8.1","2.3","22.1","1","3.08","11","26.2","0.97","0.43","1.24","0.07","11.1","0.009","1.4"
"Deep Bay","DM4","1994-06-15","1","Surface Water","0.7","0.024","0.8","82","6.2","800","1100","1.15","0.076","0.025","8.1","1.5","5.5","0.7","7.49","30","28.2","1.25","0.42","1.65","0.45","21","0.002","6.9"
"Deep Bay","DM4","1994-06-15","1","Bottom Water","0.6","0.013","0.7","70","5.1","590","590","1.27","0.075","0.022","7.8","1.8","9.1","0.7","7.45","21","28.4","1.36","0.49","1.84","0.38","15.6","0.001","2.5"
"Deep Bay","DM4","1994-07-13","1","Surface Water","0.9","0.06","1.8","80","5.8","280","430","0.988","0.168","0.034","7.8","1.8","9.1","0.5","7.41","13","29.4","1.22","0.41","1.57","0.06","12.7","0.003","3.8"
"Deep Bay","DM4","1994-07-13","1","Bottom Water","0.6","0.025","0.9","77","5.4","640","970","0.819","0.123","0.026","7.9","2.7","17.5","0.5","7.04","8.7","28.4","0.97","0.33","1.27","0.08","14.9","0.001","1.3"
"Deep Bay","DM4","1994-08-11","1","Surface Water","1.1","0.085","2","N/A","N/A","280","360","0.726","0.116","0.037","7.6","3.1","6.9","0.4","7.91","15","28.9","0.93","0.42","1.26","0.08","11.7","0.002","2.1"
"Deep Bay","DM4","1994-08-11","1","Bottom Water","0.5","0.08","0.5","N/A","N/A","620","830","0.595","0.109","0.038","7.7","0.6","14.5","0.4","6.37","8.8","27.2","0.78","0.38","1.08","0.06","8.9","0.003","1.1"
"Deep Bay","DM4","1994-09-22","1","Surface Water","1.4","0.029","0.7","73","5.7","9","14","0.527","0.126","0.042","7.9","0.2","13.9","1.4","4.72","7.3","28.3","0.68","0.27","0.92","0.06","12.7","0.002","1"
"Deep Bay","DM4","1994-09-22","1","Bottom Water","1","0.043","0.4","70","5.6","260","380","0.441","0.145","0.05","7.9","0.7","21.6","1.4","3.94","19","27.5","0.63","0.32","0.91","0.08","11.9","0.002","2"
"Deep Bay","DM4","1994-10-07","1","Surface Water","0.6","0.046","1.3","81","5.6","10","10","0.469","0.101","0.041","7.9","2.1","19.3","0.7","3.5","13","28.5","0.62","0.26","0.83","0.07","12","0.002","2.2"
"Deep Bay","DM4","1994-10-07","1","Bottom Water","0.7","0.045","1.4","80","5.2","27","45","0.475","0.096","0.042","8","1.9","22.7","0.7","3.43","12","27.9","0.62","0.21","0.78","0.06","11","0.002","1.5"
"Deep Bay","DM4","1994-11-21","1","Surface Water","1.1","0.171","2.3","91","6.7","30","40","0.258","0.092","0.045","8.1","0.4","26.5","1.2","2.26","9.9","24.4","0.52","0.53","0.88","0.1","8.8","0.01","1.3"
"Deep Bay","DM4","1994-11-21","1","Bottom Water","0.2","0.193","0.5","83","6.2","50","140","0.196","0.093","0.048","8.1","0.4","28.8","1.2","1.78","22","23.9","0.48","0.58","0.87","0.08","20","0.009","1.8"
"Deep Bay","DM4","1994-12-19","1","Surface Water","0.5","0.229","1.2","85","7","330","390","0.215","0.074","0.055","7.9","1.7","30.9","0.9","1.5","14","20.7","0.52","0.33","0.62","0.11","13","0.006","1.8"
"Deep Bay","DM4","1994-12-19","1","Bottom Water","0.2","0.171","0.9","83","6.8","120","150","0.163","0.063","0.048","8","0.8","32.2","0.9","1.16","21","21.2","0.4","0.23","0.46","0.09","19","0.005","2"
"Deep Bay","DM5","1994-01-26","1","Surface Water","2","0.24","3.1","114","9.2","36","40","0.172","0.031","0.037","8.3","4.2","29.6","1","1.27","7.9","17.2","0.44","0.75","0.95","0.08","4.9","0.011","1.5"
"Deep Bay","DM5","1994-01-26","1","Middle Water","2.1","0.248","3.8","113","9.1","90","100","0.153","0.028","0.045","8.3","4.8","30.8","1","1.12","5.3","16.6","0.43","0.78","0.96","0.08","4.3","0.011","1.1"
"Deep Bay","DM5","1994-01-26","1","Bottom Water","1.9","0.16","2.8","109","8.8","90","110","0.108","0.019","0.041","8.2","0.5","31.1","1","0.85","5.9","16.8","0.29","0.6","0.73","0.07","4.2","0.007","0.9"
"Deep Bay","DM5","1994-02-23","1","Surface Water","0.9","0.189","2.1","121","9.3","90","100","0.188","0.023","0.031","8.2","3.1","31.2","0.8","1.32","7.3","19","0.4","0.6","0.81","0.07","4.8","0.009","0.7"
"Deep Bay","DM5","1994-02-23","1","Middle Water","0.9","0.178","1.4","110","8.5","120","120","0.192","0.023","0.03","8.2","1.8","30.6","0.8","1.33","8.2","18.8","0.39","0.47","0.69","0.08","4.9","0.008","0.6"
"Deep Bay","DM5","1994-02-23","1","Bottom Water","0.5","0.172","1.4","105","8.3","290","440","0.191","0.023","0.03","8.2","2.1","30.9","0.8","1.4","8.4","17.9","0.39","0.53","0.74","0.07","6","0.007","0.7"
"Deep Bay","DM5","1994-03-16","1","Surface Water","0.4","0.152","0.7","87","6.8","450","560","0.172","0.029","0.024","7.9","0.4","32.3","0.7","0.99","51","17.9","0.35","0.34","0.54","0.07","13.5","0.003","8.8"
"Deep Bay","DM5","1994-03-16","1","Middle Water","0.6","0.193","0.7","85","6.7","310","320","0.178","0.026","0.027","7.9","1.2","32.2","0.7","0.98","35","17.9","0.4","0.42","0.62","0.06","13.7","0.004","5.4"
"Deep Bay","DM5","1994-03-16","1","Bottom Water","0.4","0.132","0.7","85","6.7","540","620","0.173","0.027","0.023","7.9","0.9","32.2","0.7","1","53","17.7","0.33","0.35","0.55","0.08","39.5","0.003","8.5"
"Deep Bay","DM5","1994-04-14","1","Surface Water","1.4","0.168","3.2","87","6.4","250","280","0.199","0.028","0.027","8","1.9","29.5","1.2","0.62","3.7","22","0.4","0.52","0.75","0.1","2.9","0.006","0.9"
"Deep Bay","DM5","1994-04-14","1","Middle Water","0.9","0.159","2.8","82","6","320","390","0.211","0.03","0.022","8","2.9","30.4","1.2","0.64","4","22.1","0.4","0.45","0.69","0.14","3.8","0.006","0.8"
"Deep Bay","DM5","1994-04-14","1","Bottom Water","0.4","0.096","2.3","80","5.8","290","390","0.17","0.024","0.012","8","1.2","31.6","1.2","0.53","5.1","22.1","0.29","0.37","0.56","0.12","7.8","0.003","0.8"
"Deep Bay","DM5","1994-05-12","1","Surface Water","0.7","0.122","0.9","85","6","26","33","0.697","0.051","0.019","8.1","2.2","20.8","1","2.91","5.8","27.5","0.87","0.27","1.02","0.05","4.6","0.008","0.9"
"Deep Bay","DM5","1994-05-12","1","Middle Water","0.6","0.115","0.5","77","5.4","55","67","0.64","0.047","0.02","8.1","2.2","23","1","2.63","8.9","26.2","0.8","0.24","0.93","0.06","9.2","0.007","1.5"
"Deep Bay","DM5","1994-05-12","1","Bottom Water","0.6","0.105","1","78","5.5","270","450","0.528","0.035","0.02","8.1","3","23.9","1","2.25","24","26.1","0.67","0.31","0.87","0.07","18.9","0.006","3.3"
"Deep Bay","DM5","1994-06-15","1","Surface Water","1.3","<0.005","5.2","89","6.7","140","210","1.18","0.063","0.021","8.2","2.2","6.7","1.2","7.11","6.9","28.2","1.25","0.49","1.73","0.34","16.1","0.001","1.4"
"Deep Bay","DM5","1994-06-15","1","Middle Water","0.9","<0.005","2.6","82","6.2","150","230","1.06","0.074","0.023","8.1","2.7","7.8","1.2","7.02","6.1","28.1","1.14","0.26","1.39","0.65","73.2","0.001","1.3"
"Deep Bay","DM5","1994-06-15","1","Bottom Water","0.7","0.005","1.4","72","5.2","120","210","1.18","0.092","0.026","8.1","1.7","13.4","1.2","6.9","5.8","27.9","1.28","0.51","1.78","0.26","94.7","0.001","0.8"
"Deep Bay","DM5","1994-07-13","1","Surface Water","2.1","0.332","0.9","83","6.1","350","560","0.841","0.161","0.074","7.8","2.9","6.7","0.5","8.17","11","29.3","1.33","1.43","2.43","0.15","14.8","0.015","1.7"
