"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1993-01-12","1","Surface Water","2.8","1.35","<0.2","87","7","1300","1400","3.75","0.002","0.439","7.5","1.9","26","1","4.41","94","20.3","5.1","3.66","7.41","0.79","37","0.013","9.5"
"Deep Bay","DM1","1993-02-25","1","Surface Water","1.3","0.043","0.4","71","6.7","2000","2300","3.56","1.31","0.673","7.5","<0.2","25.8","0.5","4.09","30","16.1","4.91","0.77","5.64","0.79","28","0.001","3.5"
"Deep Bay","DM1","1993-03-12","1","Surface Water","1.4","N/A","N/A","70","6","200","200","N/A","N/A","N/A","7.8","N/A","28.1","0.2","N/A","N/A","20.9","N/A","N/A","N/A","N/A","110","N/A","N/A"
"Deep Bay","DM1","1993-04-26","1","Surface Water","1.2","0.045","0.4","87","6.6","310","390","1.49","<0.002","0.101","7.9","1.1","16.8","0.4","4.59","36","23.7","1.54","0.28","1.77","0.17","38","0.002","5"
"Deep Bay","DM1","1993-05-10","1","Surface Water","1.5","<0.005","0.4","50","3.6","23000","24000","2.58","0.449","0.207","7.5","0.7","10.5","0.5","7.07","30","26.1","3.03","0.57","3.6","0.36","37","0.001","3.5"
"Deep Bay","DM1","1993-06-07","1","Surface Water","1.2","<0.005","0.9","39","2.8","3400","3600","3.13","0.004","0.369","7.7","2.2","9.2","0.2","7.39","22","29.2","3.14","0.48","3.61","0.45","24","0.001","3"
"Deep Bay","DM1","1993-07-21","1","Surface Water","1.9","0.025","1.4","42","2.8","490","490","1.52","0.195","0.243","6.7","6.1","10.1","0.5","0.2","5.5","29.3","1.74","0.42","2.14","0.25","32.2","0.001","1"
"Deep Bay","DM1","1993-08-31","1","Surface Water","3.7","0.658","9.7","113","7.6","1000","1100","1.33","0.67","0.217","8.4","8.1","15.6","0.5","0.11","18","29.5","2.66","0.82","2.82","0.23","10.1","0.097","1.5"
"Deep Bay","DM1","1993-09-29","1","Surface Water","1.3","0.581","2.3","19","1.5","10000","14000","2.88","1.56","0.114","7.3","3","3.3","0.4","8.74","41","27.3","5.02","0.98","5.42","0.22","20","0.008","6.9"
"Deep Bay","DM1","1993-10-15","1","Surface Water","4.2","2.52","63","89","6.5","100000","170000","0.213","0.129","0.233","8","18","16.9","0.5","3.2","29","26.6","2.86","4.9","5.24","0.38","40.7","0.154","5.9"
"Deep Bay","DM1","1993-11-15","1","Surface Water","1","3.1","8.7","60","4.5","11000","12000","0.445","0.139","0.3","7.3","4.4","18.4","0.5","6.21","20","23.9","3.68","4.68","5.26","0.4","6.4","0.03","2.9"
"Deep Bay","DM1","1993-12-13","1","Surface Water","2.4","5","2.7","46","3.7","54000","59000","0.159","0.073","0.498","7.5","1.8","22.9","0.4","6.4","26","19.9","5.23","7.04","7.27","1.09","14.4","0.057","3.5"
"Deep Bay","DM2","1993-01-12","1","Surface Water","1.3","1.15","0.2","97","7.8","480","560","0.475","1.06","0.191","7.7","1.3","27.5","0.8","3.42","17","20.3","2.69","2.63","4.17","0.44","21","0.017","2"
"Deep Bay","DM2","1993-02-25","1","Surface Water","0.9","0.03","0.5","82","7.5","200","240","1.36","0.159","0.218","7.6","0.6","28.7","1","2.21","37","17.2","1.55","0.64","2.16","0.36","34","0.001","3.5"
"Deep Bay","DM2","1993-03-12","1","Surface Water","0.7","N/A","N/A","78","6.6","50","80","N/A","N/A","N/A","7.8","N/A","28.7","0.4","N/A","N/A","20.9","N/A","N/A","N/A","N/A","75","N/A","N/A"
"Deep Bay","DM2","1993-04-26","1","Surface Water","0.8","0.007","0.4","87","6.6","110","140","1.51","0.05","0.096","7.9","0.7","18","0.6","4.14","17","23.6","1.57","0.49","2.05","0.17","25","0.001","2"
"Deep Bay","DM2","1993-05-10","1","Surface Water","1.3","<0.005","0.3","68","5.1","6800","6800","2.83","0.272","0.303","7.5","0.6","10.5","0.8","7.11","18","25.6","3.11","0.44","3.54","0.36","21","0.001","2.5"
"Deep Bay","DM2","1993-06-07","1","Surface Water","0.5","0.017","0.2","65","4.5","600","1100","1.55","0.743","0.233","7.7","0.9","10.9","0.5","6.18","14","28.6","2.31","0.26","2.55","0.28","16","0.001","2.5"
"Deep Bay","DM2","1993-07-21","1","Surface Water","2.2","0.102","1","67","4.5","240","260","1.8","0.546","0.213","6.7","3.8","11.2","0.5","0.25","15","29.3","2.45","0.74","3.09","0.22","14.3","0.001","4.5"
